location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:37,Arbeitest du freiwillig auf den Reisfeldern?,你自愿在稻田里干活吗？,,,Info_Bau_2_WichtigePersonen.description,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:47,Arbeitest du freiwillig auf den Reisfeldern?,你自愿在稻田里干活吗？,,,Info_Bau_2_WichtigePersonen_15_00,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:48,"Ja. Ja das tue ich. Ist nämlich besser freiwillig zu arbeiten, als von den Schlägern vom Reislord abgeholt zu werden.",对，那样很对。在这里自由地工作要比被地主的走狗们强迫劳动好得多。,,,Info_Bau_2_WichtigePersonen_02_01,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:49,So so ...,明白了．．．,,,Info_Bau_2_WichtigePersonen_15_02,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:63,Was kannst du mir über das Lager erzählen?,你能告诉我关于营地的情况吗？,,,Info_Bau_2_DasLager.description,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:73,Was kannst du mir über das Lager erzählen?,你能告诉我关于营地的情况吗？,,,Info_Bau_2_DasLager_15_00,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:74,"Es ist gefährlich, da hinzugehen. Lee's Söldner und die Magier sind ja ganz in Ordnung, aber auf die Banditen passt du besser auf!","到那边去很危险。 黎翌的 佣兵和 法师都很好，但是你还是出去看看,盗贼!",,,Info_Bau_2_DasLager_02_01,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:90,Alles klar bei dir?,你好吗？,,,Info_Bau_2_DieLage.description,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:100,Alles klar bei dir?,你好吗？,,,Info_Bau_2_DieLage_15_00,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:101,Was willst du? Hat Der Reislord dich geschickt? Ich arbeite doch jeden Tag!,你想做什么？是地主派你来的吗？我已经尽力工作了！,,,Info_Bau_2_DieLage_02_01,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:102,Niemand hat mich geschickt - ich will mich nur ein bisschen unterhalten.,没人派我来，我只想说说话。,,,Info_Bau_2_DieLage_15_02,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:116,Lefty schickt mich. Ich hab Wasser für dich.,雷夫帝派我来的。我给你带了一些水。,,,Info_Bau_2_Wasser.description,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:130,Lefty schickt mich. Ich hab' Wasser für dich.,雷夫帝派我来的。我给你带了一些水。,,,Info_Bau_2_Wasser_15_00,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:133,"Danke, Mann. Ich sterbe vor Durst.",谢谢你。我的嘴干死了！,,,Info_Bau_2_Wasser_02_01,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_2.d:154,"Wasser! Hey, Mann! Du hast nichts mehr! Haben wieder alle was gekriegt bis auf mich?",什么！年轻人！这儿没有雷夫帝！不要告诉我除了我每个人都可以来？,,,Info_Bau_2_Wasser_NOWATER_02_00,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:37,Habt ihr einen Anführer?,你有领导者吗？,,,Info_Bau_4_WichtigePersonen.description,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:47,Habt ihr einen Anführer?,你有领导者吗？,,,Info_Bau_4_WichtigePersonen_15_00,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:48,Der Reislord ist so was wie unser Anführer. Aber die meisten arbeiten nur aus Angst vor ihm und seinen Schlägern.,你可以说地主就是我们的领导。但是，大多数人都为他工作，因为他们怕他和他的打手们。,,,Info_Bau_4_WichtigePersonen_04_01,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:49,"Bei mir sieht das anders aus. Ich hab' schon ein paar Jahre auf dem Buckel und keine Lust mehr, mich mit den Banditen im Lager rumzuschlagen ... Die Reisfelder sind genau das Richtige für mich.",不要像我一样，我已经在这儿转悠了好几年，我已经被营地里的盗贼打得够多了．．．我已很适应这块田地了。,,,Info_Bau_4_WichtigePersonen_04_02,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:63,Was muß ich über diesen Ort wissen?,我应该了解这个地方的什么事呢？,,,Info_Bau_4_DasLager.description,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:73,Was muss ich über diesen Ort wissen?,我应该了解这个地方的什么事呢？,,,Info_Bau_4_DasLager_15_00,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:74,"Sei vorsichtig, wenn du ins Lager gehst, Junge! Da laufen so einige Halsabschneider rum, die einem Neuen wie dir an die Kehle wollen.",在营地里要小心，孩子！这儿有许多打手在等着撞在他们手上的像你这样的陌生人。,,,Info_Bau_4_DasLager_04_01,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:86,Wie läuft's denn so?,怎么样了？,,,Info_Bau_4_DieLage.description,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:96,Wie läuft's denn so?,怎么样了？,,,Info_Bau_4_DieLage_15_00,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:97,"Gibt 'ne Menge zu tun. Wir brauchen viel Reis, um die Leute hier alle ernähren zu können.",这儿有许多工作。我们需要大量的稻米供所有这些人吃。,,,Info_Bau_4_DieLage_04_01,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:109,Lefty schickt mich. Ich hab Wasser für dich.,雷夫帝派我来的。我给你带了一些水。,,,Info_Bau_4_Wasser.description,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:123,Lefty schickt mich. Ich hab' Wasser für dich.,雷夫帝派我来的。我给你带了一些水。,,,Info_Bau_4_Wasser_15_00,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:135,"Danke, Junge! Das hab' ich gebraucht!",谢谢你。我很想喝水！,,,Info_Bau_4_Wasser_04_01,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_4.d:147,"Aber du hast nichts mehr. Ist schon gut, Junge. Ich werd mich an die andern halten.",但是你没有留下任何东西。好，我会向其他人要。,,,Info_Bau_4_Wasser_NOWATER_04_00,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_9.d:37,"Wer kümmert sich darum, daß hier auf den Feldern alles glatt geht?",谁负责稻田里的事情？,,,Info_Bau_9_WichtigePersonen.description,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_9.d:47,"Wer kümmert sich darum, dass hier auf den Feldern alles glatt geht?",谁负责稻田里的事情？,,,Info_Bau_9_WichtigePersonen_15_00,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_9.d:48,"Na, wir alle! Der Reislord überwacht zwar alles, aber ich glaube, er sitzt den ganzen Tag in seinem Bunker und zählt die Säcke.",每个人都是！地主监视着工作，他花整天整天的时间做在谷仓里数他的谷袋。,,,Info_Bau_9_WichtigePersonen_09_01,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_9.d:49,"Na, immerhin hat er zusammen mit Homer die ganze Anlage hier gebaut ...",嗯，他和霍德把所有这些垒起．．．,,,Info_Bau_9_WichtigePersonen_09_02,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_9.d:63,Erzähl mir was über dieses Lager.,告诉我营地的情况。,,,Info_Bau_9_DasLager.description,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_9.d:73,Erzähl mir was über dieses Lager.,告诉我营地的情况。,,,Info_Bau_9_DasLager_15_00,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_9.d:74,"Es ist randvoll mit Arschlöchern. Wenn's nach mir ginge, sollten die Söldner alle Banditen einfach aus dem Lager werfen.",营地里到处都是坏蛋。如果我说话算，那么我会让那些俑兵把所有的无赖都赶出营地。,,,Info_Bau_9_DasLager_09_01,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_9.d:75,Die tun gar nichts für uns. Machen nur Ärger.,他们不做什么事，只会找麻烦。,,,Info_Bau_9_DasLager_09_02,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_9.d:87,Wie steht's?,你好吗？,,,Info_Bau_9_DieLage.description,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_9.d:97,Wie steht's?,你好吗？,,,Info_Bau_9_DieLage_15_00,,
Scripts/content/Story/B/B_AssignAmbientInfos_Bau_9.d:98,"Wir arbeiten uns den Arsch ab, damit hier alle was zu futtern kriegen!",我们正在为了有东西吃而努力工作!,,,Info_Bau_9_DieLage_09_01,,
