location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:43,"Wen haben wir denn da? Du bist doch der Typ, den ich getauft habe? Was willst du? Noch mehr Schläge?",谁在这儿？你不是那个早先时候被我洗礼的人吗？你想做什么？你回来要更多的东西吗？,,,DIA_Bullit_First_06_00,,
Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:55,"Ich bin gekommen, um dir dein großes Maul zu stopfen.",我来填满你的大嘴。,,,DIA_Bullit_AufsMAul.description,,
Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:65,"Ich bin gekommen, um dir dein großes Maul zu stopfen.",我来填满你的大嘴。,,,DIA_Bullit_AufsMAul_15_00,,
Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:66,"Ja, dann komm mal her, Bürschchen!",哈，好，过来试试吧，小家伙！,,,DIA_Bullit_AufsMAul_06_01,,
Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:98,Du schon wieder. Ich hätte dich schon am ersten Tag im See versenken sollen!,你又来了？！我早就把你淹死在湖里了，我亲眼看见的!,,,DIA_GRD_203_Bullit_Wait4SC_06_01,,
Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:99,Damals hatte ich keine Chance - jetzt ist genau das Gegenteil der Fall.,那时我没有机会回来，但现在时机来了。,,,DIA_GRD_203_Bullit_Wait4SC_15_02,,
Scripts/content/Story/MISSIONS/DIA_GRD_203_Bullit.d:100,"Du Wurm! Ich hoffe, dass du es mir nicht so einfach machst, wie beim ersten Mal!",你这个小人！我只希望你不会像第一次那样轻松地对付我！,,,DIA_GRD_203_Bullit_Wait4SC_06_03,,
Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:47,Wer hat DICH denn reingelassen?,谁让你进来的？,,,DIA_Scorpio_Hello_13_00,,
Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:48,Thorus.,索拉斯。,,,DIA_Scorpio_Hello_15_01,,
Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:49,Und was willst du hier?,你以为你在做什么？,,,DIA_Scorpio_Hello_13_02,,
Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:52,"Ich wollte mal wissen, wie's hier drin aussieht.",我只想看看这里。,,,DIA_Scorpio_Hello.DIA_Scorpio_Hello_JustLooking,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:53,Ich habe eine Botschaft für die Magier.,我有一封给法师的信。,,,DIA_Scorpio_Hello.DIA_Scorpio_Hello_Mages,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:56,Ich habe eine Ladung Kraut für Gomez.,我带了一些沼泽烟草给葛梅兹。,,,DIA_Scorpio_Hello.DIA_Scorpio_Hello_Kraut,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:61,Ich bin auf dem Weg zu Gomez. Ich will mich euch anschließen.,我要去拜访葛梅兹。我要加入你们。,,,DIA_Scorpio_Hello.DIA_Scorpio_Hello_Join,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:67,"Ich wollte mal wissen, wie's hier drin aussieht.",我只想看看这里。,,,DIA_Scorpio_Hello_JustLooking_15_00,,
Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:68,Sehr witzig.,很有趣。,,,DIA_Scorpio_Hello_JustLooking_13_01,,
Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:74,Ich habe eine Botschaft für die Magier.,我有一封给法师的信。,,,DIA_Scorpio_Hello_Mages_15_00,,
Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:75,Du arbeitest für die Magier? Damit will ich nichts zu tun haben ...,你为法师工作？我不想和他们做什么事．．．,,,DIA_Scorpio_Hello_Mages_13_01,,
Scripts/content/Story/MISSIONS/DIA_GRD_205_Scorpio.d:81,Ich habe eine Ladung Kraut für Gomez.,我带了一些沼泽烟草给葛梅兹。,,,DIA_Scorpio_Hello_Kraut_15_00,,
