location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:45,Was machst du hier? Wer hat dich hereingelassen? Wache!,你在这儿干什么？谁让你进来的？守卫!,,,DIA_YBerion_Wache_12_00,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:57,"Sei gegrüßt, Meister Y'Berion.",你好，贝理昂主人。,,,DIA_YBerion_Kennen.description,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:70,"Sei gegrüßt, Meister Y'Berion.",你好，贝理昂主人。,,,DIA_YBerion_Kennen_15_00,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:71,Ah! Du kommst mir bekannt vor!,哈！我认出你了！,,,DIA_YBerion_Kennen_12_01,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:72,Unmöglich. Wir haben uns noch nie gesehen.,不可能。我们以前没见过。,,,DIA_YBerion_Kennen_15_02,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:73,Und ich dachte ... Nun gut - was willst du?,但是我想．．．嗯，你想做什么？,,,DIA_YBerion_Kennen_12_03,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:86,"Mir kam zu Ohren, du suchst etwas",我听说你在找什么东西。,,,Info_YBerion_BringFocus.description,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:102,"Mir kam zu Ohren, du suchst etwas.",我听说你在找什么东西。,,,Sit_2_PSI_Yberion_BringFocus_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:103,Das ist richtig. Wir brauchen einen magischen Fokus.,对。我们需要魔法源。,,,Sit_2_PSI_Yberion_BringFocus_Info_12_02,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:104,"Wir haben den Novizen Nyras losgeschickt, um den Fokus zu holen. Doch er ist bisher nicht zurückgekehrt.",我们派尼拉斯见习修士去收集魔法源了。但是他还没回来。,,,Sit_2_PSI_Yberion_BringFocus_Info_12_03,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:105,"Du könntest für mich nachsehen, was passiert ist!",你应该替我检查一下，到底发生了什么。,,,Sit_2_PSI_Yberion_BringFocus_Info_12_04,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:109,Ich werde den Fokus zurückbringen!,我将把魔法源带回来！,,,Info_YBerion_BringFocus.Info_YBerion_BringFocus_OK,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:110,Wo soll ich suchen?,我应该从哪儿开始找？,,,Info_YBerion_BringFocus.Info_YBerion_BringFocus_WO,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:111,Was hat es mit dem Fokus auf sich?,为什么魔法源如此重要？,,,Info_YBerion_BringFocus.Info_YBerion_BringFocus_FOKUS,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:121,Ich werde den Fokus zurückbringen!,我将把魔法源带回来！,,,Sit_2_PSI_Yberion_BringFocus_OK_15_01,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:122,"Nimm diese Karte hier, dort ist der Ort des Fokus verzeichnet.",拿着这张地图。上面有魔法源位置的标记。,,,Sit_2_PSI_Yberion_BringFocus_OK_12_02,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:131,Wo soll ich suchen?,我应该从哪儿开始找？,,,Sit_2_PSI_Yberion_BringFocus_WO_15_01,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:132,"Wenn du das Lager verlässt, wende dich nach rechts und steige hinauf zur großen Klippe. Dort, hinter dem Wald, wo du das Meer sehen kannst, wirst du den Fokus finden.",离开营地，右转，扑上那座高高的悬崖。穿过森林，直到你能看到大海为止。在那儿你就会找到魔法源。,,,Sit_2_PSI_Yberion_BringFocus_WO_12_02,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:137,Was hat es mit dem Fokus auf sich?,为什么魔法源如此重要？,,,Sit_2_PSI_Yberion_BringFocus_FOKUS_15_01,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:138,"Es ist ein magischer Gegenstand, der unsere geistigen Kräfte vereinigen wird.",它是一种能集中我们精神力量的魔法物。,,,Sit_2_PSI_Yberion_BringFocus_FOKUS_12_02,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:139,"Es handelt sich dabei um einen der fünf Fokussteine, den die Magier zum Errichten der Barriere benutzt haben.",它是法师树立屏障所使用的五块宝石中的一块。,,,Sit_2_PSI_Yberion_BringFocus_FOKUS_12_03,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:140,"In einer Vision sah ich, dass wir uns die Kraft eines Fokus zu Nutze machen müssen.",在预言上看，我们确实需要使用魔法源。,,,Sit_2_PSI_Yberion_BringFocus_FOKUS_12_04,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:141,War wohl eine ziemlich spannende Vision.,听起来却像一个有趣的幻想。,,,Sit_2_PSI_Yberion_BringFocus_FOKUS_15_05,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:142,Meine Vision war ein Zeichen vom Schläfer. Mit dem Fokus können wir ihn erreichen!,我的预言是沈睡者的一种征兆。我们可以用魔法源找到他。,,,Sit_2_PSI_Yberion_BringFocus_FOKUS_12_06,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:152,Ich habe den Fokus immer noch nicht gefunden.,我还没有找到魔法源。,,,Info_YBerion_BringFocus_RUNNING.description,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:165,Ich habe den Fokus immer noch nicht gefunden.,我还没有找到魔法源。,,,Info_YBerion_BringFocus_RUNNING_15_01,,
Scripts/content/Story/MISSIONS/DIA_GUR_1200_YBerion.d:166,Dann suche weiter. Der Schläfer wird dir den Weg weisen.,那么继续找。沈睡者会指引你的。,,,Info_YBerion_BringFocus_RUNNING_12_02,,
