location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_KDF_400_Rodriguez.d:34,Ich suche den obersten Magier des Feuers!,我要找高级火界法师！,,,DIA_Rodriguez_Hello.description,,
Scripts/content/Story/MISSIONS/DIA_KDF_400_Rodriguez.d:47,Ich suche den obersten Magier des Feuers!,我要找高级火界法师！,,,DIA_Rodriguez_Hello_15_00,,
Scripts/content/Story/MISSIONS/DIA_KDF_400_Rodriguez.d:48,Geh zu Milten. Der gibt sich mit Laufburschen wie dir ab.,去见见米尔顿吧。他负责像你这样的办事员。,,,DIA_Rodriguez_Hello_12_01,,
Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:23,Möge das Feuer dich allzeit beschützen!,愿火界法师能保护你！,,,KDF_401_Damarok_WELCOME_Info_14_01,,
Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:71,"Wenn du Schaden nehmen solltest, werde ich dich heilen.",如果你受伤了，我会治愈你。,,,KDF_401_Damarok_HEAL_Info_14_01,,
Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:83,Ich bin verletzt. Kannst du mich heilen?,我受伤了。你能治愈我吗？,,,KDF_401_Damarok_HEALINFO.description,,
Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:97,Ich bin verletzt. Kannst du mich heilen?,我受伤了。你能治愈我吗？,,,KDF_401_Damarok_HEALINFO_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_KDF_401_Damarok.d:98,"Der Körper gesundet, der Geist wird klar.",身体康复了，精神更清晰了。,,,KDF_401_Damarok_HEALINFO_Info_14_02,,
Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:57,"Erzähl mir, wie ist es, ein Magier zu sein.",告诉我－－法师的情况。,,,KDF_402_Corristo_EXPLAINMAGE.description,,
Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:71,"Erzähl mir, wie ist es, ein Magier zu sein.",告诉我－－法师的情况。,,,KDF_402_Corristo_EXPLAINMAGE_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:72,"Wir sind die Magier des Feuers. Die Diener von Innos, dem obersten aller Götter.",我们是火界法师。我们是英诺斯的奴仆，是最高的神。,,,KDF_402_Corristo_EXPLAINMAGE_Info_14_02,,
Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:73,"Unsere Magie ist ein Geschenk der Götter. Wir sind auserwählt, zugleich Priester, Lehrer und Richter zu sein.",我们的魔法是上帝赐予的。,,,KDF_402_Corristo_EXPLAINMAGE_Info_14_03,,
Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:74,"Ein Geschenk, das zugleich eine Bürde ist. Ein Amt, das unser Leben bestimmt.",它是一种不断地压制着我们的礼物。任务的不同决定着我们生活的不同。,,,KDF_402_Corristo_EXPLAINMAGE_Info_14_04,,
Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:87,Ich möchte in den Kreis der Magier aufgenommen werden,我想进入魔法环。,,FALSE,KDF_402_Corristo_WANNBEKDF.description,,
Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:101,Ich möchte in den Kreis der Magier aufgenommen werden.,我想进入魔法环。,,,KDF_402_Corristo_WANNBEKDF_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:102,Du willst also ein Magier des Feuers werden? Hm....,那么你想成为一名火界法师吗？,,,KDF_402_Corristo_WANNBEKDF_Info_14_02,,
Scripts/content/Story/MISSIONS/DIA_KDF_402_Corristo.d:106,"Du bist noch nicht so weit. Komm erst wieder zu mir, wenn du mehr gelernt hast.",你仍然不够资格，当你学习道更多的东西再回来。,,,KDF_402_Corristo_WANNBEKDF_Info_14_04,,
