location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:19,Mögest du in einem Stück zurückkehren!,愿你能顺利返回！,,,Info_Saturas_EXIT_14_01,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:45,Was machst du hier? Du hast hier nichts zu suchen! Verschwinde!,你在这儿做什么？这儿没你的事了！滚开！,,,Info_Saturas_Intruder_14_00,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:67,Ich habe wichtige Neuigkeiten aus dem Lager der Bruderschaft!,我有来自兄弟会营地的重要消息！,,,Info_Saturas_NEWS.description,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:80,Ich habe wichtige Neuigkeiten aus dem Lager der Bruderschaft!,我有来自兄弟会营地的重要消息！,,,Info_Saturas_NEWS_15_01,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:81,"Wenn dir Cronos die Erlaubnis gab, mich aufzusuchen, müssen es in der Tat wichtige Nachrichten sein!",如果克罗诺斯让你来拜访我，那么一定是有十分重要的消息！,,,Info_Saturas_NEWS_14_02,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:93,Y'Berion ist tot,贝理昂死了！,,FALSE,Info_Saturas_YBERION.description,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:106,Y'Berion ist tot! Er starb bei einer großen rituellen Anrufung des Schläfers.,贝理昂死了！他死于沈睡者的祈祷仪式中。,,,Info_Saturas_YBERION_15_01,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:107,"Y'Berion tot? Das sind schlechte Nachrichten, sehr schlechte Nachrichten!",贝理昂死了？那是坏消息，非常坏的消息！,,,Info_Saturas_YBERION_14_02,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:108,"Wer hat die Führung der Bruderschaft übernommen? Dieser machtgierige, verschlagene Cor Kalom?",现在谁领导着兄弟会？是那个没有实权而又奸诈的寇尔卡隆吗？,,,Info_Saturas_YBERION_14_03,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:109,"Nein! Kalom hat der Bruderschaft den Rücken gekehrt. Er hat einige Templer mitgenommen. Niemand weiß, wohin sie aufgebrochen sind.",不是！寇尔卡隆已经背弃了兄弟会。他带着一些圣战士走了。没有人知道他们去哪儿了。,,,Info_Saturas_YBERION_15_04,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:110,Warum das? Er war doch der zweite Mann nach Y'Berion!,为什么？他的位置仅次于贝理昂！,,,Info_Saturas_YBERION_14_05,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:111,"Gewisse Ereignisse haben die Gurus davon überzeugt, dass der Weg ihres Gottes der falsche ist. Er scheint ein Erzdämon zu sein, der nur Böses im Schilde führt.",这些事件已经使导师们相信了他们的追求是错误的。他们的上帝看起来是一个邪恶的魔鬼。,,,Info_Saturas_YBERION_15_06,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:112,"Einer der Gurus hat mich unter dem Einfluss des Schläfers fast umgebracht, obwohl ich eben diesem Mann kurz zuvor das Leben gerettet hatte.",一名导师在沈睡者的影响下差点杀了我，虽然我救了他的命，但是只能暂时维持罢了。,,,Info_Saturas_YBERION_15_07,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:113,"Cor Kalom war der einzige Guru, der die wahre Natur der Höllenkreatur nicht sehen wollte und hat daher das Lager im Sumpf verlassen.",寇尔卡隆是唯一不想接纳魔鬼的人，所以他离开了兄弟会的营地。,,,Info_Saturas_YBERION_15_08,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:114,"Ich verstehe! Nun, das ist Glück im Unglück, denn Cor Angar ist ein guter Mann. Hart, aber ehrlich.",我明白了！嗯，至少我们是很幸运的。寇尔卡隆是一个好人。他很顽固，但是很诚实。,,,Info_Saturas_YBERION_14_09,,
Scripts/content/Story/MISSIONS/DIA_Kdw_600_Saturas.d:115,"Wenn jemand den Zerfall der Bruderschaft nach dieser spirituellen Katastrophe verhindern kann, ist er es.",如果说有人能阻止兄弟会在这次精神大灾难后瓦解，那就是他了。,,,Info_Saturas_YBERION_14_10,,
