location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:33,Hi! Ich bin neu hier!,嗨！我是新来的！,,,DIA_Caine_Hallo.description,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:43,Hi! Ich bin neu hier!,嗨！我是新来的！,,,DIA_Caine_Hallo_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:44,"Ich bin Caine. Schüler von Cor Kalom. Du hast sicher schon von ihm gehört, richtig?",我．．．我．．．我叫凯恩，是寇尔卡隆的学生。你一定听说过他吧？,,,DIA_Caine_Hallo_13_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:47,Nein.,不。,,,DIA_Caine_Hallo.DIA_Caine_Hallo_Nein,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:48,Ja.,是。,,,DIA_Caine_Hallo.DIA_Caine_Hallo_Ja,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:53,Ja.,是。,,,DIA_Caine_Hallo_Ja_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:54,"Dann weißt du ja, dass er hier der zweitwichtigste Mann nach Y'Berion ist.",那么你知道他是营地的二把手了．．．仅次于贝理昂。,,,DIA_Caine_Hallo_Ja_13_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:60,Nein.,不。,,,DIA_Caine_Hallo_Nein_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:61,"Nicht?! Du bist wohl wirklich noch nicht lange hier, was?",不？！你到这儿不长时间，是吗？,,,DIA_Caine_Hallo_Nein_13_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:62,"Cor Kalom ist der zweitwichtigste Mann nach Y'Berion. Er entscheidet, wer als Novize bei uns aufgenommen wird.",寇尔卡隆是仅次于贝理昂的第二个人。他决定着谁可以作为一名见习修士加入我们。,,,DIA_Caine_Hallo_Nein_13_02,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:132,Und was tust du?,你是做什么的？,,,DIA_Caine_Job.description,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:145,Und was tust du?,你是做什么的？,,,DIA_Caine_Job_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:146,Ich helfe meinem Meister bei der Aufbereitung der alchimistischen Substanzen.,我．．．我．．．我帮助我的主人准备炼金药剂。,,,DIA_Caine_Job_13_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:147,Im wesentlichen Sumpfkraut und Minecrawlersekret. Vor allem das Sekret braucht er dringend.,大部分是沼泽烟草和矿坑爬行者的分泌物。分泌物的需求很紧迫。,,,DIA_Caine_Job_13_02,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:159,Wo bekomme ich das Sekret der Minecrawler?,我在哪儿能得到矿坑爬行者的分泌物？,,,DIA_Caine_WoSekret.description,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:172,Wo bekomme ich das Sekret der Minecrawler?,我在哪儿能得到矿坑爬行者的分泌物？,,,DIA_Caine_WoSekret_15_00,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:173,Crawler findest du in der Alten Mine. Aber du musst wissen wie du ihnen das Sekret abzapfst.,你有旧营地里能找到矿坑爬行者。但是，我必须知道怎样取得分泌物。,,,DIA_Caine_WoSekret_13_01,,
Scripts/content/Story/MISSIONS/DIA_NOV_1301_Caine.d:174,"Falls du wirklich vorhast, dich mit den Biestern anzulegen, sprich besser vorher mit einem der Templer, der Erfahrung hat. Zum Beispiel Gor Na Drak.",如果你真的想与那些野兽作战，你最好去找一个有经验的圣战士谈谈。如正神德克。,,,DIA_Caine_WoSekret_13_02,,
