Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:49,Ich muss weiter!,我必须走了！,,,Info_FreemineOrc_EXIT_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:50,Fremder kommen wieder!,再来啊！,,,Info_FreemineOrc_EXIT_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:54,Ich danke dir. Ich werde mich jetzt wieder auf den Weg machen.,谢谢你！现在我要上路了。,,,Info_FreemineOrc_EXIT_15_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:55,Fremder haben gute Reise!,祝你旅途愉快！,,,Info_FreemineOrc_EXIT_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:79,Tarrok brauchen Hilfe! Tarrok verletzt!,塔罗卡需要帮助！他受伤了！,,,Info_FreemineOrc_INTRO_17_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:91,Was ist geschehen?,这儿怎么回事？,,,Info_FreemineOrc_WASPASSIERT.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:104,Was ist geschehen?,这儿怎么回事？,,,Info_FreemineOrc_WASPASSIERT_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:105,Tarrok hier gefangen von blauen Soldaten. Plötzlich überall rote Soldaten.,塔罗卡被蓝色战士抓去了。突然到处又来了红色战士。,,,Info_FreemineOrc_WASPASSIERT_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:106,Rote Soldaten töten alles.,他们见什么杀什么。,,,Info_FreemineOrc_WASPASSIERT_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:107,Tarrok hierhin geflohen. Rote Soldaten nicht gehen hierhin. Rote Soldaten fürchten GACH LUG.,塔罗卡逃了回来。红色战士再没来这儿。红色战士怕卡克拉格。,,,Info_FreemineOrc_WASPASSIERT_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:108,"Bitte helfen, Tarrok verletzt.",帮帮忙，塔罗卡受伤了。,,,Info_FreemineOrc_WASPASSIERT_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:120,Was kann ich für dich tun?,我能帮你吗？,,,Info_FreemineOrc_WASTUN.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:133,Was kann ich für dich tun?,我能帮你吗？,,,Info_FreemineOrc_WASTUN_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:134,Tarrok brauchen starke Medizin. Tarrok sonst sterben.,塔罗卡需要一些猛药，否则他就会死。,,,Info_FreemineOrc_WASTUN_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:135,Was für Medizin?,什么药？,,,Info_FreemineOrc_WASTUN_15_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:136,GACH LUG mich vergiftet. Tarrok brauchen Medizin!,塔罗卡中了卡克拉格的毒。塔罗卡需要药！,,,Info_FreemineOrc_WASTUN_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:137,"Tarrok haben Medizin, aber Tarrok verlieren. Tarrok nicht finden!",塔罗卡有药，但是被他弄丢了。找不到了！,,,Info_FreemineOrc_WASTUN_17_05,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:149,Ich werde die Medizin wiederfinden!,我会把你们的药找回来！,,,Info_FreemineOrc_OFFER.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:164,Ich werde die Medizin wiederfinden!,我会把你们的药找回来！,,,Info_FreemineOrc_OFFER_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:165,"Tarrok sehr schwach. Fremder beeilen, sonst Tarrok sterben!",塔罗卡快不行了。请快点，否则他就会死！,,,Info_FreemineOrc_OFFER_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:180,Was bedeutet GACH LUG?,卡克拉格是什么？,,,Info_FreemineOrc_CRAWLER.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:193,Was bedeutet GACH LUG?,卡克拉格是什么？,,,Info_FreemineOrc_CRAWLER_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:194,Seien große Tiere auf vielen Beinen.,一种用长着很多脚的野兽。,,,Info_FreemineOrc_CRAWLER_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:195,GACH LUG gefährlich! Orks und Menschen fressen!,卡克拉格很危险！它们能吃兽人和人类！,,,Info_FreemineOrc_CRAWLER_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:196,Du meinst wohl die Minecrawler hier unten!,你一定是指下面的矿坑爬行者吧！,,,Info_FreemineOrc_CRAWLER_15_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:208,Du sprichst unsere Sprache?,你会说我们的话？,,,Info_FreemineOrc_TONGUE.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:221,Du sprichst unsere Sprache?,你会说我们的话？,,,Info_FreemineOrc_TONGUE_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:222,Tarrok schon lange Sklave von Menschen. Tarrok gut zuhören!,塔罗卡在那里工作了很长时间。他能听说得很好。,,,Info_FreemineOrc_TONGUE_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:235,Ich kann die Medizin nicht finden!,我找不到药！,,,Info_FreemineOrc_SEARCHPOTION.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:250,Ich kann die Medizin nicht finden!,我找不到药！,,,Info_FreemineOrc_SEARCHPOTION_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:251,Fremder suchen weiter! Medizin hier unten sein!,陌生人找到了！药就在这儿！,,,Info_FreemineOrc_SEARCHPOTION_17_02,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:252,Torrok fliehen vor GACH LUG! Tarrok sich bei Flucht verstecken!,塔罗卡在逃跑时把它们藏了起来！,,,Info_FreemineOrc_SEARCHPOTION_17_03,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:253,Fremder auch suchen in Nischen!,可以去找找那些小地方！,,,Info_FreemineOrc_SEARCHPOTION_17_04,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:267,"Bist du ein Freund von Ur-Shak, dem Schamanen?",你是乌尔夏克的朋友吗，巫师？,,,Info_FreemineOrc_SUCHEULUMULU.description,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:280,"Bist du ein Freund von Ur-Shak, dem Schamanen?",你是乌尔夏克的朋友吗，巫师？,,,Info_FreemineOrc_SUCHEULUMULU_15_01,,
Scripts/content/Story/MISSIONS/DIA_ORC_Freemine.d:281,Ur-Shak waren Sklave wie Tarrok. Ur-Shak gelaufen weg! Seien viele Winter her!,乌尔夏克是像塔罗卡一样的奴隶。乌尔夏克几年前就逃跑了！,,,Info_FreemineOrc_SUCHEULUMULU_17_02,,
