Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:19,"Du siehst ganz schön ungelenkig aus, ich könnte dir helfen.",你看起来不是很敏捷。我可以帮你。,,,DIA_ORG_833_Buster_02_01,,
Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:51,Wie kannst du mir helfen?,你怎么能帮我？,,,DIA_ORG_833_Buster3.description,,
Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:61,Ich kann dir die hohe Kunst der Körperbeherrschung zeigen. AKROBATIK.,我可以教你如何控制自己的身体。这是一种特技艺术。,,,DIA_ORG_833_Buster3_02_01,,
Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:78,"Wenn du deinen Körper beherrscht, bist du in der Lage viel weiter zu springen.",只要你控制好了自己的身体，你就能够跳得更远。,,,DIA_ORG_833_Buster3_02_02,,
Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:79,"Du lernst dich richtig abzurollen und aus dem Fall heraus richtig zu landen. Aber denk daran, du bist nicht unsterblich!",你将学会怎样翻滚，和着陆的最佳方式。但是不要忘记，你不是不朽的！,,,DIA_ORG_833_Buster3_02_03,,
Scripts/content/Story/MISSIONS/DIA_ORG_833_Buster.d:80,Auch im Kampf ist Akrobatik sehr hilfreich. Du kannst deinen Abstand zum Gegner sehr schnell verändern. Viel Glück!,特技在战斗中是非常有用的。你可以非常快地改变你和敌人之间的距离。祝你好运！,,,DIA_ORG_833_Buster3_02_04,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:33,Ich habe die Bedarfsliste der alten Mine.,我有旧营地需要的清单。,,,DIA_Roscoe_BringList.description,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:46,Ich habe die Bedarfsliste der alten Mine.,我有旧营地需要的清单。,,,DIA_Roscoe_BringList_15_00,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:47,Nicht schlecht. Wie bist du daran gekommen?,不错。你怎么拿到的？,,,DIA_Roscoe_BringList_10_01,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:48,Ian hat sie mir gegeben.,伊恩把它给我了。,,,DIA_Roscoe_BringList_15_02,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:49,"Du hast Nerven. Sie haben dich geschickt, um dich zu prüfen, was? Thorus geht bestimmt schon die Wände hoch.",你很有勇气！他们派你来考验我，是吧？索拉斯一定是疯了，我相信。,,,DIA_Roscoe_BringList_10_03,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:50,Diego hat mir den Auftrag gegeben.,迪哥给我下的命令。,,,DIA_Roscoe_BringList_15_04,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:51,"Diego macht, was Thorus ihm sagt. So wie ich ihn kenne, würde er sich totlachen, wenn er wüsste, dass du hier bist.",迪哥是按照索拉斯的意思去做的。如果他知道你在这儿，而我又认识他，他会死得很可笑。,,,DIA_Roscoe_BringList_10_05,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:52,Kann ich jetzt rein oder was?,现在我是否能进去？,,,DIA_Roscoe_BringList_15_06,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:53,Geh nur. Lares werden die Augen aus dem Kopf fallen.,进去吧。赖理斯不会相信的。,,,DIA_Roscoe_BringList_10_07,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:66,Mordrag schickt mich.,摩达哥派我来。,,,DIA_Roscoe_Mordrag.description,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:80,Mordrag schickt mich.,摩达哥派我来。,,,DIA_Roscoe_Mordrag_15_00,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:81,Mordrag ist schon lange nicht mehr hier. Er ist vielleicht schon längst zum Alten Lager übergelaufen.,摩达哥有一段时间没有来过了。或许他转变向旧营地了。,,,DIA_Roscoe_Mordrag_10_01,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:82,Ich bin mit ihm hierhin gekommen.,我和他一起来了。,,,DIA_Roscoe_Mordrag_15_02,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:83,"Mordrag ist wieder hier? Wenn du ihn siehst, sag ihm, Lares will ihn sehen.",摩达哥回来了？如果你遇见他，请告诉他赖理斯想见他。,,,DIA_Roscoe_Mordrag_10_03,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:84,Mordrag hat mir etwas für Lares gegeben.,摩达哥让我把一些东西带给赖理斯。,,,DIA_Roscoe_Mordrag_15_04,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:85,Was?,什么东西？,,,DIA_Roscoe_Mordrag_10_05,,
Scripts/content/Story/MISSIONS/DIA_ORG_840_Roscoe.d:86,Einen Ring.,一枚戒指。,,,DIA_Roscoe_Mordrag_15_06,,
