location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:46,"Was machst du denn hier? Hab nicht oft Besuch hier oben, hehe!",你在这儿做什么？不要经常带拜访者来这儿！,,,DIA_Gilbert_First_04_00,,
Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:47,"War ne gute Leistung von dir, mein Versteck zu finden.",你很聪明，竟然找到了我的藏身之处。,,,DIA_Gilbert_First_04_01,,
Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:62,Was machst du hier?,你在这里做什么？,,,DIA_Gilbert_Hallo.description,,
Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:72,Was machst du hier?,你在这里做什么？,,,DIA_Gilbert_Hallo_15_00,,
Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:73,Ich hatte die Schnauze voll vom alten Lager. Hatte Ärger mit Gomez Leuten. Ist aber schon ne Weile her.,哦，我在旧营地里已经受够了，我与 葛梅兹的伙伴已有了纠纷。那是前些时候的事。,,,DIA_Gilbert_Hallo_04_01,,
Scripts/content/Story/MISSIONS/DIA_Non_1500_Gilbert.d:74,"Schätze, jetzt kräht kein Hahn mehr danach. Aber ich bleibe hier. Im alten Lager rennen mir zu viele Schwachköpfe rum.",我想现在没有人会记得那些，但我仍然在这里。在旧营地里有太多的傻瓜。,,,DIA_Gilbert_Hallo_04_02,,
Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:33,"Du kommst aus der Freien Mine, richtig?",你从自由矿坑来，对吧？,,,DIA_Senyan_Hello.description,,
Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:43,"Du kommst aus der Freien Mine, richtig?",你从自由矿坑来，对吧？,,,DIA_Senyan_Hello_15_00,,
Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:44,Richtig. Wie hast du das bloß rausgefunden?,对。你怎么知道的？,,,DIA_Senyan_Hello_01_01,,
Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:58,Ich will nur mit dir reden.,我只想和你谈谈。,,,DIA_Senyan_JustTalk.description,,
Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:71,Ich will nur mit dir reden.,我只想和你谈谈。,,,DIA_Senyan_JustTalk_15_00,,
Scripts/content/Story/MISSIONS/DIA_SfB_1000_Senyan.d:72,Ich bin nicht zum Reden hier.,我不想谈。,,,DIA_Senyan_JustTalk_01_01,,
Scripts/content/Story/MISSIONS/DIA_SfB_1001_Schuerfer.d:34,"Na, wie steht's in der Mine?",嗯，矿坑怎么样了？,,,DIA_Sfb_1001_Hello.description,,
Scripts/content/Story/MISSIONS/DIA_SfB_1001_Schuerfer.d:44,"Na, wie steht's in der Mine?",嗯，矿坑怎么样了？,,,DIA_Sfb_1001_Hello_15_00,,
Scripts/content/Story/MISSIONS/DIA_SfB_1001_Schuerfer.d:45,"Wir haben das Meiste hinter uns. Nur noch wenige Wochen, dann haben wir genug.",我们已经做了许多事了。已经尽力了。,,,DIA_Sfb_1001_Hello_02_01,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:33,Wer bist du?,你是谁？,,,Info_Swiney_Hello.description,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:43,Wer bist du?,你是谁？,,,Info_Swiney_Hello_15_00,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:44,"Ich bin der beste Bergbauer, den diese verdammte Kolonie jemals gesehen hat, mein Junge.",我是这个该死的殖民地里最好的矿坑工程师，我的孩子。,,,Info_Swiney_Hello_09_01,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:45,"Ich passe auf, dass nicht die Hälfte unserer Jungs von Steinen erschlagen werden, weil sie zu dumm sind, an der richtigen Stelle zu schürfen.",我相信有半数人都会被倒塌的岩石砸死，只是因为他们太笨了，不会找恰当的藏身之处。,,,Info_Swiney_Hello_09_02,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:57,Ich will bei euch als Schürfer mitmachen!,我想加入你们采矿工！,,,Info_Swiney_Schuerfer.description,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:70,Ich will bei euch als Schürfer mitmachen!,我想加入你们采矿工！,,,Info_Swiney_Schuerfer_15_00,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:71,"So? Denk bloß nicht, du kannst hier viel erwarten. Jeden Tag gibt's 3 Portionen Reis und für den Rest musst du selber sorgen.",哦，是吗？你难道没想过多拿一点。一天三餐饭，你应该对自己负责多拿一些。,,,Info_Swiney_Schuerfer_09_01,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:72,"Du weißt, warum wir das hier machen? Wir machen die Arbeit, damit alle hier eines Tages wieder rausspazieren können.",你知道我们为什么这么做吗？我们做这项工作是为了有一天我们能走出这里而获得自由。,,,Info_Swiney_Schuerfer_09_02,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:73,"Das heißt, alles Erz wird abgegeben und kommt auf den großen Haufen. Und einmal im Monat kriegt jeder, der hier hart gearbeitet hat, 50 Brocken Erz zum Versaufen.",那意味着所有的矿石都必须上交，然后就会堆成一个大的矿石堆。每月每人在这儿能采到５０个矿石。,,,Info_Swiney_Schuerfer_09_03,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:74,"Das waren auch schon die wichtigsten Sachen, die du wissen musst.",你应该知道，那是最重要的事。,,,Info_Swiney_Schuerfer_09_04,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:75,Kennst du dich wenigstens mit der Arbeit aus?,对这项工作你至少有一点经验吧？,,,Info_Swiney_Schuerfer_09_05,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:78,Nein.,不。,,,Info_Swiney_Schuerfer.Info_Swiney_Schuerfer_Nein,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:79,Ja.,是。,,,Info_Swiney_Schuerfer.Info_Swiney_Schuerfer_Ja,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:84,Ja.,是。,,,Info_Swiney_Schuerfer_Ja_15_00,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:85,"Gut! Dann weißt du ja, worauf du zu achten hast. Hier ist Schutzkleidung. 'Ne Spitzhacke musst du dir suchen. Viel Spaß.",好！这样你就知道该注意什么了。这是你的保护服，你必须找到你自己的十字镐，祝你玩得愉快。,,,Info_Swiney_Schuerfer_Ja_09_01,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:94,Nein.,不。,,,Info_Swiney_Schuerfer_Nein_15_00,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:95,Natürlich nicht! Warum immer ich? Gut. Pass auf. Du nimmst jetzt diese Klamotten und ziehst sie dir an - hier.,你当然没有！为什么总是被我碰到？好吧，仔细听好。把这个在这儿穿上。,,,Info_Swiney_Schuerfer_Nein_09_01,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:96,"Wenn dir ein Erzbrocken auf den Fuß fällt und du keine Schutzkleidung trägst, bist du ein Krüppel und nur noch die Hälfte für uns wert.",如果你在没穿防护衣的时候，有一块矿石掉在你的一只脚上，那么你就会为此成了跛子，你对于我们也就只剩一半价值了。,,,Info_Swiney_Schuerfer_Nein_09_02,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:97,'Ne Spitzhacke liegt hier bestimmt irgendwo noch rum.,这附近会有一把十字镐。,,,Info_Swiney_Schuerfer_Nein_09_03,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:98,Aber viel anfangen kannst du damit sowieso nicht - na ja - was soll's ...,但是你要好好利用它－－好－－就这样吧．．．,,,Info_Swiney_Schuerfer_Nein_09_04,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:116,Wieviel Erz habt ihr schon gesammelt?,你收集多少矿石了？,,,Info_Swiney_PERM.description,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:129,Wie viel Erz habt ihr schon gesammelt?,你收集多少矿石了？,,,Info_Swiney_PERM_15_00,,
Scripts/content/Story/MISSIONS/DIA_SfB_1037_Swiney.d:130,"Die Magier sagen, viel brauchen wir nicht mehr. Geh ins Neue Lager und sieh dir den Haufen an.",法师说，我们不需要太多的矿石了。去新营地看看矿石堆吧！,,,Info_Swiney_PERM_09_01,,
Scripts/content/Story/MISSIONS/DIA_IE_397_Announcer.d:43,"Hochverehrte Erzbarone, geehrte Gardisten, Schatten und Buddler ...",我尊敬的矿场主人，尊敬的守卫、巡逻兵和采矿工．．．,,,Info_Announcer_ANNOUNCE_11_01,,
Scripts/content/Story/MISSIONS/DIA_IE_397_Announcer.d:44,Ich präsentiere ihnen ...,我向你们表示崇高的敬意．．．,,,Info_Announcer_ANNOUNCE_11_02,,
Scripts/content/Story/MISSIONS/DIA_IE_397_Announcer.d:45,!!! IN EXTREMO !!!!,！！！极度敬意！！！！,,,Info_Announcer_ANNOUNCE_11_03,,
Scripts/content/Story/ZS/ZS_Meditate.d:44,Omm...,呣！,,,ZS_Meditate_Om,,
Scripts/content/Story/ZS/pers/ZS_Preach_YBerion.d:34,Der Schläfer hat zu mir gesprochen.,沈睡者与我说话。,,,ZS_Preach_YBerion01,,
Scripts/content/Story/ZS/pers/ZS_Preach_YBerion.d:38,Der Schläfer wird uns alle befreien.,Der Schläfer wird uns alle befreien.,,,ZS_Preach_YBerion02,,
Scripts/content/Story/ZS/pers/ZS_Preach_YBerion.d:42,Der Schläfer erwache!,Der Schläfer erwache!,,,ZS_Preach_YBerion03,,
