location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:23,Auf in den Kampf!,打啊！,,,Info_Gorn_EXIT_09_01,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:27,Bis später.,再见！,,,Info_Gorn_EXIT_09_02,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:55,Hey. Ein neues Gesicht.,嘿，一张新面孔。,,,DIA_Gorn_First_09_00,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:56,Wer bist du?,你是谁？,,,DIA_Gorn_First_15_01,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:57,Ich bin Gorn. Söldner der Magier.,我是宫尔，法师的佣兵。,,,DIA_Gorn_First_09_02,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:69,Was machst du als Söldner der Magier?,作为一名法师的佣兵，你必须做什么？,,,DIA_Gorn_Leben.description,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:82,Was machst du als Söldner der Magier?,作为一名法师的佣兵，你必须做什么？,,,DIA_Gorn_Leben_15_00,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:83,"Lee hat mit den Magiern eine Abmachung getroffen. Er heuert die besten Kämpfer an, die in der Kolonie zu finden sind. Also uns.",黎翌和法师们做了一笔交易。他雇佣了一些最好的战士在殖民地里巡逻，那就是我们。,,,DIA_Gorn_Leben_09_01,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:84,"Wir sorgen dafür, dass die Schürfer ungestört Erz abbauen können und halten den Magiern den Rücken frei.",我们要确保采矿工们在矿坑里采矿的安全性，保证他们不受打扰，不会给法师们惹麻烦。,,,DIA_Gorn_Leben_09_02,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:85,"Die Magier kümmern sich darum, dass wir hier rauskommen. Und einen kleinen Teil des Erzes bekommen wir als Sold.",法师要确保我们不会逃出这里。我们会得到一点矿石作为报酬。,,,DIA_Gorn_Leben_09_03,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:99,Kann ich hier irgendwo pennen?,我可以呆在这儿吗？,,,DIA_Gorn_Hut.description,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:112,"Kann ich hier irgendwo pennen, ohne dass ich vorher jemanden aus seiner Hütte prügeln muss?",我可以呆在这儿，不被踢出去吗？,,,DIA_Gorn_Hut_15_00,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:113,"Ich fürchte nicht. Aber wenn du das wirklich vorhast, geh zu Shrike.",我不那样认为。但是如果你真的想那样做，就去拜访一下史瑞克吧。,,,DIA_Gorn_Hut_09_01,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:114,Er hat sich die Hütte ganz vorne am Höhleneingang geschnappt. Sie stand leer - aber eigentlich gehörte sie uns.,他在洞穴入口处，前面右边的房子里。它是空着的，但却是属于我们的。,,,DIA_Gorn_Hut_09_02,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:115,Uns?,我们？,,,DIA_Gorn_Hut_15_03,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:116,Den Söldnern eben. Söldner und Banditen leben hier getrennt. Und normalerweise hat keiner aus Lares' Bande was auf dieser Seite des großen Loches zu suchen.,嗯，我们佣兵。佣兵和盗贼是分开居住的。赖理斯的人不在这儿，在大洞的这边。,,,DIA_Gorn_Hut_09_04,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:117,"Im Grunde ist es völlig egal. Aber er hat niemanden gefragt. Und man kann den Banditen nicht alles durchgehen lassen, sonst werden sie aufmüpfig!",这确实不一样。但是他没有问。你不能让那些盗贼逃出去，因为那样，他们就真的自大了！,,,DIA_Gorn_Hut_09_05,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:134,Shrike hat sich eine andere Hütte gesucht.,史瑞克去另一间屋子了。,,,DIA_Gorn_HutFree.description,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:147,Shrike hat sich eine andere Hütte gesucht.,史瑞克去另一间屋子了。,,,DIA_Gorn_HutFree_15_00,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:148,"Gut. Gerade noch hat mich Torlof drauf angesprochen, dass er dem Burschen das Fell über die Ohren ziehen wollte.",好。托洛夫告诉我，他想和那人谈谈。,,,DIA_Gorn_HutFree_09_01,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:165,"Was muss ich tun, um im Neuen Lager aufgenommen zu werden?",要加入新营地，我必须做什么？,,,DIA_Gorn_BecomeSLD.description,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:179,"Was muss ich tun, um im Neuen Lager aufgenommen zu werden?",要加入新营地，我必须做什么？,,,DIA_Gorn_BecomeSLD_15_00,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:180,"Bevor dich Lee aufnimmt, musst du lernen, besser zu kämpfen. Egal, mit welcher Waffe, aber du musst gut sein.",在黎翌同意你加入前，你必须提高自己的战斗技巧。你可以自由选择武器，但是必须练习到很棒的程度。,,,DIA_Gorn_BecomeSLD_09_01,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:181,Außerdem musst du viel Erfahrung haben mit dem Leben hier und allem.,此外，你应该对这儿的生活的事物很有经验。,,,DIA_Gorn_BecomeSLD_09_02,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:182,"Wenn du keine Lust hast, in die anderen Lager zu gehen, solltest du dich den Banditen anschließen, bevor du als Söldner anfängst.",如果你不想去其他的营地，你应该尽量在开始作佣兵前加入盗贼。,,,DIA_Gorn_BecomeSLD_09_03,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:238,Hast du noch mehr von dem Zeug?,你有很多东西吗？,,,DIA_Gorn_TRADE_15_00,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:239,Jede Menge. Willst du handeln?,非常多。你想交易？,,,DIA_Gorn_TRADE_09_01,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:251,"Wie kommt es, dass du dich an einem Überfall der Bande beteiligt hast?",你为什么参加袭击？,,,DIA_Gorn_DuHehler.description,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:264,"Wie kommt es, dass du dich an einem Überfall der Bande beteiligt hast?",你为什么参加袭击？,,,DIA_Gorn_DuHehler_15_00,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:265,"Wer sagt, dass es so war?",谁说的？,,,DIA_Gorn_DuHehler_09_01,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:266,Warum hast du sonst so viel von diesem Zeug?,如果那不是真的，你为什么有这么多东西？,,,DIA_Gorn_DuHehler_15_02,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:267,"Denk bloß nicht, dass das alles von EINEM Fischzug kommt.",你不认为这是一个人所有的成果吗？,,,DIA_Gorn_DuHehler_09_03,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:268,Du beteiligst dich regelmäßig an den Überfällen?,你经常参加袭击吗？,,,DIA_Gorn_DuHehler_15_04,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:269,"Wenn es so wäre, könnte ich es dir nicht sagen. Lee sieht so was nämlich gar nicht gerne.",如果我参加了，就不会告诉你。黎翌不喜欢嚼舌头的人。,,,DIA_Gorn_DuHehler_09_05,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:270,Verstehe.,明白。,,,DIA_Gorn_DuHehler_15_06,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:315,"Ahh, du bist es! Mein Freund Lester aus dem Sumpflager hat mir erzählt, was du dort alles vollbracht hast.",哈，是你！我的朋友莱斯特把你做的都告诉我了。,,,Info_Gorn_NCWAIT_09_01,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:316,"Für jemanden, der noch nicht so lange hier ist, hast du es schon weit gebracht.",对于刚到这儿的人来说，你已经知道的很多了。,,,Info_Gorn_NCWAIT_09_02,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:317,"Es hat oft nicht viel gefehlt, und ich wäre als Futter für die Würmer geendet.",我也是为了糊口啊！,,,Info_Gorn_NCWAIT_15_03,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:329,Ich habe eine wichtige Botschaft für die Wassermagier!,我有一个重要的消息要告诉水界法师！,,,Info_Gorn_MAGES.description,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:342,Ich habe eine wichtige Botschaft für die Wassermagier!,我有一个重要的消息要告诉水界法师！,,,Info_Gorn_MAGES_15_01,,
Scripts/content/Story/MISSIONS/DIA_PC_Fighter.d:343,Dann sprich am besten gleich mit Saturas. Er ist der oberste Wassermagier und studiert den ganzen Tag irgendwelche Schriften.,那么，你应该去和沙图拉斯谈谈。他是这里最高等级的水界法师。整天都在研究魔法书其他事物。,,,Info_Gorn_MAGES_09_02,,
