Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:23,Weiter geht's.,走吧！,,,DIA_Milten_EXIT_02_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:27,Wir sehen uns.,再见！,,,DIA_Milten_EXIT_02_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:56,"Du darfst keinen Fuß über diese Schwelle setzen, es sei denn Meister Corristo gestattet es.",你不能上门阶，除非得到克里斯托主人允许。,,,DIA_Milten_First_02_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:68,Ich suche den obersten Magier des Feuers.,我要找高级火界法师。,,,DIA_Milten_Hello.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:81,Ich suche den obersten Magier des Feuers.,我要找高级火界法师。,,,DIA_Milten_Hello_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:82,Das ist Corristo. Was willst du von ihm?,他就是克里斯托。你想找他做什么？,,,DIA_Milten_Hello_02_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:116,Zeig mir den Brief.,给我看看！,,,DIA_Milten_Letter_02_03,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:129,Das ist nicht mehr nötig.,现在不必谈。,,,Info_Milten_SHSEAL_02_05,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:133,Wir haben von deiner Leistung in der Alten Mine gehört. Ohne die Minecrawler ist der Erzabbau viel sicherer geworden.,我们听说了你在旧营地出色的表现。没有了矿坑爬行者，采矿业变得更安全了。,,,DIA_Milten_GotoCorristo_02_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:134,Auch Corristo weiß davon. Er wünscht dich zu sprechen. Geh zu ihm.,克里斯托也知道了你的功绩。他愿意和你谈谈。去见他吧！,,,DIA_Milten_GotoCorristo_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:148,Ich habe einen Brief für den obersten Feuermagier.,我有一封给高级火界法师的信。,,,DIA_Milten_Letter.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:162,Ich habe einen Brief für den obersten Feuermagier.,我有一封给高级火界法师的信。,,,DIA_Milten_Letter_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:163,Bist du ein Bote aus der Außenwelt?,你是来自外面世界的使者吗？,,,DIA_Milten_Letter_02_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:164,"Ja. Ein Magier gab mir den Brief, kurz bevor sie mich in die Kolonie geworfen haben.",是的。在他们把我扔进殖民地前，一位法师给了我这封信。,,,DIA_Milten_Letter_15_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:167,Erst will ich meine Belohnung.,我想先要报酬。,,,DIA_Milten_Letter.DIA_Milten_Letter_NO,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:168,Hier ist er.,给你。,,,DIA_Milten_Letter.DIA_Milten_Letter_Give,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:173,Hier ist er.,给你。,,,DIA_Milten_Letter_Give_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:177,Das ist ein Brief an Xardas!,是萨尔达斯写来的！,,,DIA_Milten_Letter_Give_02_03,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:178,Und was ist daran so aufregend?,有什么令人兴奋的消息吗？,,,DIA_Milten_Letter_Give_15_04,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:179,Xardas ist schon lange kein Diener Innos mehr. Vor einigen Jahren hat er uns verlassen und sich der schwarzen Magie zugewandt.,萨尔达斯在很久以前就不再是英诺斯的奴仆了。那里他离开了我们，投身到黑暗魔法。,,,DIA_Milten_Letter_Give_02_05,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:180,Er lebt in einem Turm mitten im Orkgebiet und widmet sich dort seinen Studien.,他住在兽人地带中部的一个城镇里，正在集中精力进行他的研究。,,,DIA_Milten_Letter_Give_02_06,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:181,"Er sagte, er wolle auf seine Art herausfinden, was mit der Barriere nicht stimmt.",他说他会独自去查出屏障的故障。,,,DIA_Milten_Letter_Give_02_07,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:183,Warte hier. Ich bin gleich wieder da.,在这儿等着。我一会儿就回来。,,,DIA_Milten_Letter_Give_02_08,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:203,Erst will ich meine Belohnung.,我想先要报酬。,,,DIA_Milten_Letter_NO_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:204,"Corristo wird Torrez anweisen, sie dir zu geben, sobald er den Brief erhalten hat.",克里斯托会告诉托里斯，只要他一拿到信就给你报酬的。,,,DIA_Milten_Letter_NO_02_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:205,Ich bin ein Diener Innos - ich lüge niemals. Gib mir den Brief jetzt.,我是英诺斯的奴仆－－从来不撒谎。现在把信给我吧。,,,DIA_Milten_Letter_NO_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:207,Ich möchte den Brief lieber Torrez direkt geben.,我宁愿把信给托里斯本人。,,,DIA_Milten_Letter.DIA_Milten_Letter_NO_AGAIN,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:213,Ich möchte den Brief lieber Torrez direkt geben.,我宁愿把信给托里斯本人。,,,DIA_Milten_Letter_NO_AGAIN_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:214,"Du lässt nicht mit dir reden, hm?",我不能再和你说了！,,,DIA_Milten_Letter_NO_AGAIN_02_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:215,Nein. Ich will erst meine Belohnung sehen!,不。我想先拿到报酬。,,,DIA_Milten_Letter_NO_AGAIN_15_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:216,Nun gut. Du willst es nicht anders. Warte hier.,如果你那么想，那么好吧。在这儿等着。,,,DIA_Milten_Letter_NO_AGAIN_02_03,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:251,"Corristo war nicht sehr erfreut, dass du den Dienern Innos so wenig Vertrauen entgegen bringst.",克里斯托不太乐意见你，因为你不是英诺斯的奴仆。,,,DIA_Milten_ComesBack_02_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:252,"Aber er sagt, du sollst zu Torrez gehen und dir die übliche Belohnung geben lassen.",但是，他说你可以去见托里斯，让他给你报酬。,,,DIA_Milten_ComesBack_02_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:256,"Corristo war ganz außer sich vor Freude. Er sagt, du kannst zu Torrez gehen und dir deine Belohnung selbst aussuchen.",克里斯托很激动。他说你可以去见托里斯，选择自己的报酬。,,,DIA_Milten_ComesBack_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:269,Wo finde ich Torrez?,在哪儿可以找到托里斯？,,,DIA_Milten_WoTorrez.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:282,Wo finde ich Torrez?,在哪儿可以找到托里斯？,,,DIA_Milten_WoTorrez_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:283,Er ist den ganzen Tag draußen hier vorm Tempelgebäude.,他整天都在神殿的大楼前面。,,,DIA_Milten_WoTorrez_02_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:284,Nachts ist er wie alle anderen drinnen - aber nur Magier dürfen das Tempelhaus betreten. Also kannst du ihn nur tagsüber sprechen.,晚上，他像其他人一样呆在里面－－但是只有法师才可以进入神殿，所以你只能在白天去找他。,,,DIA_Milten_WoTorrez_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:296,Ich habe da noch einen Brief von den Wassermagiern.,我有一封水界法师的信。,,,DIA_Milten_NochEinBrief.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:309,Ich habe da noch einen Brief von den Wassermagiern.,我有一封水界法师的信。,,,DIA_Milten_NochEinBrief_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:310,Ah! Sehr gut! Ich werde ihn an Corristo weiterleiten.,哈！很好！我要把它带给克里斯托。,,,DIA_Milten_NochEinBrief_02_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:311,"Wenn du wieder im Neuen Lager bist, werden die Wassermagier dich sicherlich für deine Mühen belohnen.",相信当你返回新营地时，水界法师会付给你报酬的。,,,DIA_Milten_NochEinBrief_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:326,Erzähl mir was über die Feuermagier.,请给我讲讲火界法师的事。,,,DIA_Milten_PERM.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:339,Erzähl mir was über die Feuermagier.,请给我讲讲火界法师的事。,,,DIA_Milten_PERM_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:340,"Der Kreis des Feuers bezieht seine Macht von der Gnade Innos. Der Gott des Lichts, der Wahrheit und der Gerechtigkeit wacht über uns.",火环魔法的能量来自于英诺斯。那是我们的光明、正义和真理之神。,,,DIA_Milten_PERM_02_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:341,Die Magier betrachten sich selber als die Erwählten - und so behandeln sie auch alle anderen.,法师们想选择一个能帮助他们处理事务的人。,,,DIA_Milten_PERM_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:342,"Ich hatte das Glück, damals aufgenommen zu werden. Corristo hat mich zu seinem Lehrling gemacht. Vermutlich hatte er einfach Lust auf Unterhaltung.",我很幸运被选中了。克里斯托让我做他的徒弟。或许他想看魔法表演吧。,,,DIA_Milten_PERM_02_03,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:343,"Seitdem bemühe ich mich jeden Tag, meine magischen Fähigkeiten zu steigern, damit ich in den nächsten Kreis aufgenommen werden kann.",从那时起，我每天都要为了下一次的魔法表演而提高自己的魔法技术。,,,DIA_Milten_PERM_02_04,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:356,Ich will ein Lehrling der Magier werden - so wie du.,我也想成为一名像你这样的法师徒弟。,,,DIA_Milten_WannaMage.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:369,Ich will ein Lehrling der Magier werden - so wie du.,我也想成为一名像你这样的法师徒弟。,,,DIA_Milten_WannaMage_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:370,"Corristo hat mich damals erwählt, weil ich eine besondere Sache für die Erzbarone erledigt habe.",克里斯托选择了我，是因为我能做一些对矿场主人特别的事。,,,DIA_Milten_WannaMage_02_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:371,"Ohne dass du etwas Herausragendes leistest, wird er dich nicht als Lehrling in Betracht ziehen.",他不会考虑让你做他的徒弟，除非你能做一些十分特别的事。,,,DIA_Milten_WannaMage_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:372,"Du mußt außerdem dem Alten Lager angehören. Ich kann mir nicht vorstellen, dass Corristo ein Mitglied eines anderen Lagers als Lehrling akzeptiert.",此外，你必须属于旧营地。我怀疑克里斯托是否愿意让其他营地的人担任他的徒弟。,,,DIA_Milten_WannaMage_02_03,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:406,Sei gegrüßt! Mein Freund Lester aus dem Sumpflager hat mir von deinen großen Taten dort erzählt!,你好！我的朋友，湿地营地的莱斯特告诉了我关于你的伟大事迹！,,,Info_Milten_SHWAIT_02_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:407,Ich bin beeindruckt. Du bist sehr stark geworden.,我很感动。你变得非常强壮了。,,,Info_Milten_SHWAIT_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:408,"Man tut, was man kann.",我只是尽力而已。,,,Info_Milten_SHWAIT_15_03,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:409,"Ja, ja, immer bescheiden, was?",哈，是的，你总是这么谦虚！,,,Info_Milten_SHWAIT_02_04,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:421,Ich habe Gorn getroffen,我遇见宫尔了。,,,Info_Milten_SHGORN.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:434,Ich habe Gorn getroffen.,我遇见宫尔了。,,,Info_Milten_SHGORN_15_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:435,Wirklich? Wo?,真的？哪儿？,,,Info_Milten_SHGORN_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:436,An der alten Klosterruine am Meer. Wir haben sie gemeinsam nach Schätzen durchsucht.,在海边废弃的修道院。我们两个人去那儿寻找宝物。,,,Info_Milten_SHGORN_15_03,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:437,Davon wird er mir bei unserem nächsten Treffen bestimmt erzählen.,我相信，我们再见面时，他会告诉我的。,,,Info_Milten_SHGORN_02_04,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:449,Lester und ich haben die Bergfestung ausgenommen,莱斯特和我端了大山贸易站。,,,Info_Milten_SHLESTER.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:462,Lester und ich haben die Bergfestung ausgenommen.,莱斯特和我端了大山贸易站。,,,Info_Milten_SHLESTER_15_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:463,Er hat mir davon erzählt. Du scheinst vertrauenswürdig zu sein.,他告诉我了。显然，他是很信任你的。,,,Info_Milten_SHLESTER_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:464,Wo habt ihr vier euch bisher getroffen?,你们四个人在哪儿相遇过？,,,Info_Milten_SHLESTER_15_03,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:465,"Ach, hier und da. Wir treffen uns an den verschiedensten Orten.",噢，各处。我们在许多不同的地方相遇。,,,Info_Milten_SHLESTER_02_04,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:477,Was machst du hier?,你在这里做什么？,,,Info_Milten_SHYOU.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:490,Was machst du hier?,你在这里做什么？,,,Info_Milten_SHYOU_15_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:491,"Nicht weit von hier befindet sich ein uraltes Stonehenge, in dessen Mitte der Eingang zu einem unterirdischen Gewölbe liegt.",离这儿的不远处有一只古老的石钟。它的中心是通往地下拱顶的玄关。,,,Info_Milten_SHYOU_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:492,Eine Art Gruft?,有几分像坟墓？,,,Info_Milten_SHYOU_15_03,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:493,"Ja, so was in der Richtung.",是的，有一些像。,,,Info_Milten_SHYOU_02_04,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:494,"In dieser Gruft gibt es etwas, das ich gerne haben würde.",有那个坟墓里，有一些我想拥有的东西。,,,Info_Milten_SHYOU_02_05,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:506,Ich suche nach einem Fokusstein.,我在找一块魔法源宝石。,,,Info_Milten_SHME.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:520,Ich suche nach einem Fokusstein. Er muss irgendwo hier in der Gegend sein.,我在找一块魔法源宝石。,,,Info_Milten_SHME_15_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:521,"Hört sich fast so an, als ob wir beide etwas am gleichen Ort suchen würden.",听起来，好像我们都在同样的地方找人。,,,Info_Milten_SHME_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:533,Warum gehst du nicht in die Gruft und holst dir was du suchst?,你为什么不下到坟墓里，拿到你要找的东西呢？,,,Info_Milten_SHPROBLEM.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:546,Warum gehst du nicht in die Gruft und holst dir was du suchst?,你为什么不下到坟墓里，拿到你要找的东西呢？,,,Info_Milten_SHPROBLEM_15_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:547,"Oh, das ist nicht so schnell erzählt. Dafür müsste ich etwas weiter ausholen.",噢，那是一个很长的故事。我以后再给你解释吧。,,,Info_Milten_SHPROBLEM_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:548,"Erzähl, ich habe Zeit !",走吧，我不着急！,,,Info_Milten_SHPROBLEM_15_03,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:549,"Nun gut! Nach der Erschaffung der magischen Barriere, die uns alle hier gefangen hält ...",好吧！在囚禁我们的魔法屏障创建以后．．．,,,Info_Milten_SHPROBLEM_02_04,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:550,...hat einer der beteiligten Magier ein magisches Artefakt dort unten versiegelt.,．．．一名法师将一个魔法神器封印在那下面。,,,Info_Milten_SHPROBLEM_02_05,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:562,Ist dieses Artefakt einer der fünf Fokussteine?,这个神器是那五块魔法源宝石中的一块吗？,,,Info_Milten_SHFOCUS.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:575,Ist dieses Artefakt einer der fünf Fokussteine?,这个神器是那五块魔法源宝石中的一块吗？,,,Info_Milten_SHFOCUS_15_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:576,Genau! Dann kennst du die Geschichte der fünf Fokussteine wohl schon.,很对！那么，你已经知道了那五块魔法源宝石的故事了吗？,,,Info_Milten_SHFOCUS_02_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:577,"Jetzt sag bloß, du bist auch hinter diesem Fokus her?",不要告诉我，你也是要找魔法源！,,,Info_Milten_SHFOCUS_15_03,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:578,Nein. Der Fokusstein interessiert mich nicht. Ich suche einen orkischen Talisman.,不。我对魔法源宝石不感兴趣。我在找兽人的护身符。,,,Info_Milten_SHFOCUS_02_04,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:590,Das Artefakt wurde versiegelt?,神器被封了？,,,Info_Milten_SHSEAL.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Mage.d:603,Das Artefakt wurde versiegelt?,神器被封了？,,,Info_Milten_SHSEAL_15_01,,
