location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:23,Dem Ziel entgegen!,我们走吧！,,,Info_Lester_EXIT_05_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:27,Der Schläfer möge dich behüten!,愿沈睡者保护你！,,,Info_Lester_EXIT_05_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:55,"Du hast einen Guru angesprochen!! Tu das nie wieder! Es ist ein Sakrileg! Wenn der Meister es für richtig hält, mit dir zu reden, wird ER dich ansprechen.",你与一位导师通信了！不要再那么做了！那是冒渎！如果一个主人想和你说话，他就会与你通信。,,,DIA_Lester_Sakrileg_05_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:67,Wer bist du?,你是谁？,,,DIA_Lester_Hallo.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:80,Wer bist du?,你是谁？,,,DIA_Lester_Hallo_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:81,"Ich bin Lester. Ich kümmere mich um die Fremden, die hier ankommen.",我是莱斯特。我要照顾到这儿来的陌生人。,,,DIA_Lester_Hallo_05_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:84,"Gut, dass du nicht Baal Namib angesprochen hast. Kein Fremder darf die Gurus ansprechen.",你很幸运没有和巴尔．那米交谈。陌生人是不被允许和导师们说话的。,,,DIA_Lester_Hallo_05_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:97,Ich will aber mit deinem Meister reden.,但是我想和你的主人谈谈。,,,DIA_Lester_WannaTalkToMaster.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:112,Ich will aber mit deinem Meister reden.,但是我想和你的主人谈谈。,,,DIA_Lester_WannaTalkToMaster_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:113,"Vergiss es! Ich bin sicher, ICH kann dir bei all deinen Problemen weiterhelfen.",算了吧！我相信我能帮你任何其他问题。,,,DIA_Lester_WannaTalkToMaster_05_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:126,Erzähl mir was über das Lager.,请告诉我营地的一些事。,,,DIA_Lester_CampInfo.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:140,Erzähl mir was über das Lager.,请告诉我营地的一些事。,,,DIA_Lester_CampInfo_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:141,Was willst du wissen?,你想知道什么？,,,DIA_Lester_CampInfo_05_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:144,Erzähl mir was über die Gilden.,请给我讲讲议会。,,,DIA_Lester_CampInfo.DIA_Lester_CampInfo_GIL,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:145,Was hat es mit dem Schläfer auf sich?,你能给我讲讲沈睡者的情况吗？,,,DIA_Lester_CampInfo.DIA_Lester_CampInfo_SLEEPER,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Pc_Psionic.d:146,Was weißt du über das Kraut?,你知道沼泽烟草的情况吗？,,,DIA_Lester_CampInfo.DIA_Lester_CampInfo_HERB,Info_AddChoice,
