location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:26,Ich bin Diego.,我是迪哥。,,,Info_Diego_Gamestart_11_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:27,Ich bin...,我是...,,FALSE,Info_Diego_Gamestart_15_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:28,"Mich interessiert nicht, wer du bist. Du bist neu hier. Ich kümmere mich um die Neuen. Belassen wir es vorerst dabei.",你是谁不管我的事。你刚来这儿。而我负责照看新来的人。就是这样。,,,Info_Diego_Gamestart_11_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:29,"Wenn du vorhast, länger zu leben, solltest du dich ein bißchen mit mir unterhalten. Ich werde dich allerdings nicht daran hindern, in dein Verderben zu rennen. Also, wie sieht's aus?",如果你打算在这儿生活一段时间，你应该告诉我。但是我当然不会阻止你。嗯，你认为如何？,,,Info_Diego_Gamestart_11_03,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:53,Danke für die Hilfe.,谢谢你的帮助。,,,Info_Diego_EXIT_Gamestart_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:57,"Wie du willst. War nett, dich gekannt zu haben.",那就是你的决定了。很高兴认识你。,,,Info_Diego_EXIT_Gamestart_11_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:61,Wir sehen uns im Alten Lager.,我们会在旧营地相遇的。,,,Info_Diego_EXIT_Gamestart_11_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:96,Weiter geht's.,我们走吧！,,,Info_Diego_EXIT_11_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:100,Mach's gut.,保重！,,,Info_Diego_EXIT_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:115,Ich habe einen Brief für den obersten Feuermagier.,我有一封给高级火界法师的信。,,,Info_Diego_Brief.description,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:128,Ich habe einen Brief für den obersten Feuermagier.,我有一封给高级火界法师的信。,,,Info_Diego_Brief_15_00,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:129,So...?,真的．．．？,,,Info_Diego_Brief_11_01,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:130,"Ein Magier hat ihn mir gegeben, kurz bevor sie mich reingeworfen haben.",在他们把我扔进殖民地前，一位法师给了我这封信。,,,Info_Diego_Brief_15_02,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:131,"Du kannst von Glück sagen, dass ich mich bei den Magiern nicht mehr blicken lassen kann. Jeder andere wird dir mit Freude für diesen Brief die Kehle durchschneiden.",你很幸运。我不能再与法师们见面了。其他任何人都会为了那封信割破你的喉咙。,,,Info_Diego_Brief_11_03,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:132,"Die Magier belohnen ihre Boten immer sehr gut, und die meisten hier haben gar nichts, verstehst du?",那是因为法师要付给他们的送信人很多钱，所以这儿许多贫穷的人都想得到那些钱。,,,Info_Diego_Brief_11_04,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:133,"Wenn ich du wäre, würde ich die Schnauze halten, bis ich einen der Magier treffe. Obwohl das in deiner Lage nicht allzu wahrscheinlich ist.",如果我是你，我就会在见到法师前决不透露此事。虽然处在你的位置上，那是不太可能的。,,,Info_Diego_Brief_11_05,,
Scripts/content/Story/MISSIONS/DIA_Pc_Thief.d:134,Wieso nicht?,为什么？,,,Info_Diego_Brief_15_06,,
