Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:31,Ich will besser mit Einhandwaffen umgehen können.,我想改善自己对单手武器的使用技能。,,,SLD_709_Cord_TRAINOFFER.description,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:44,Ich will besser mit Einhandwaffen umgehen können.,我想改善自己对单手武器的使用技能。,,,SLD_709_Cord_TRAINOFFER_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:45,Natürlich. Kostet aber 'ne Kleinigkeit. 30 Erz will ich sehen.,当然，那是要花钱的。我要３０个矿石。,,,SLD_709_Cord_TRAINOFFER_Info_14_02,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:75,Ich will besser mit Einhandwaffen umgehen können.,我想改善自己对单手武器的使用技能。,,,SLD_709_Cord_TRAIN_Info_15_00,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:81,"Gute Entscheidung! Um deine Technik zu verbessern, musst du erst einmal lernen, deine Waffe richtig zu halten.",那是一个好主意！在你能改善自己的技能前，你必须学会怎样很好的握住武器。,,,SLD_709_Cord_TRAIN_14_01,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:82,"Anfänger neigen dazu, Einhandwaffen mit beiden Händen zu halten. Mit so was fängst du am besten gar nicht erst an, das behindert dich nur.",初学者总是用两只手去握单手武器。现在，不要养成那种习惯，它对你是不好的！,,,SLD_709_Cord_TRAIN_14_02,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:83,"Halt die Waffe mit einer Hand, Klinge nach oben, und dann immer schön schwingen lassen.",用一只手握住武器，刀刃向上，旋转砍削。,,,SLD_709_Cord_TRAIN_14_03,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:84,"Du musst lernen, den Schwung deiner Waffe mit deinen Bewegungen in Einklang zu bringen, dann kannst du schneller zuschlagen.",你必须学会让你的武器随着你自己的走动而旋转，那样你在攻击中就会更快。,,,SLD_709_Cord_TRAIN_14_04,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:85,"Wenn du dich an meine Anweisungen hältst, wirst du in Zukunft eleganter und vor allem schneller kämpfen.",如果你紧记我所教的技术，你的战术在未来就会是一流的。,,,SLD_709_Cord_TRAIN_14_05,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:87,"Ach, und noch was: Manche Treffer richten mehr Schaden an als andere! Als Anfänger hast du nur eine geringe Chance, solche kritischen Treffer zu landen.",噢，还有一点：一些招式会比其他的更具威力！作为一个初学者，你应该多加揣摩。,,,SLD_709_Cord_TRAIN_14_06,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:88,"Aber je weiter du fortschreitest, desto besser wird diese Fähigkeit.",你进步得越大，得到的经验也就越多。,,,SLD_709_Cord_TRAIN_14_07,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:123,"Zeig mir, wie ich im Umgang mit Waffen noch besser werden kann.",请教给我怎样更巧妙地使用单手武器。,,,SLD_709_Cord_TRAINAGAIN_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:129,"Na gut, die Grundkenntnisse hast du ja schon. Wenn du die Waffe gesenkt hältst, dann kannst du direkt mehr Wucht in deinen ersten Schlag legen.",好吧，你知道基本的了。把武器放低一点，这样在你第一次攻击中就更有力。,,,SLD_709_Cord_TRAINAGAIN_Info_14_02,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:130,"Nutze den Schwung, weißt du noch? Gut, der nächste Schritt ist, dass du deinen Körper mehr einsetzt. Wenn du zweimal geschlagen hast, drehe dich um die eigene Achse, damit überrascht du den Gegner und bist in einer optimalen Position.",使用转动的地方，记住了吗？现在你要更多地利用你的身体。当你第二次攻击时，向四周转转，这样就会迷惑对方，而你就处于一个极佳的位置。,,,SLD_709_Cord_TRAINAGAIN_Info_14_03,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:131,Dann ziehst du deine Klinge noch einmal quer von rechts nach links.,然后把你的武器再从右向左砍削一次。,,,SLD_709_Cord_TRAINAGAIN_Info_14_04,,
Scripts/content/Story/MISSIONS/DIA_SLD_709_Cord.d:133,"Und wieder von vorne. Vergiss nicht, Übung macht den Meister. Also, geh jetzt und werde ein wahrer Meister des einhändigen Kampfes.",再从后向前砍削。不要忘记：练习是很有效的。所以开始练习成为一位单手武器的大师吧。,,,SLD_709_Cord_TRAINAGAIN_Info_14_05,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:33,"Du bist der Chef der Söldner, richtig?",你是佣兵的头领吗？,,,Sld_700_Lee_Greet.description,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:43,"Du bist der Chef der Söldner, richtig?",你是佣兵的首领吗？,,,DIA_Lee_Greet_15_00,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:44,"Das ist richtig, mein Junge!",很对，孩子！,,,DIA_Lee_Greet_08_01,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:56,Was sind die Aufgaben eines Söldners der Magier?,法师的佣兵的任务是什么？,,,Sld_700_Lee_Define.description,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:69,Was sind die Aufgaben eines Söldners der Magier?,法师的佣兵的任务是什么？,,,DIA_Lee_Define_15_00,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:70,Ganz einfach: Beschütze das Erz - beschütze die Magier.,很简单：保护矿石－－保护法师。,,,DIA_Lee_Define_08_01,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:71,Manchmal haben die Magier aber auch eine besondere Aufgabe für einen von uns.,有时，法师会派特殊的任务给我们。,,,DIA_Lee_Define_08_02,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:83,Ich will bei euch mitmachen!,我想加入你们！,,,Sld_700_Lee_Mitmachen.description,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:98,Ich will bei euch mitmachen!,我想加入你们！,,,DIA_Lee_Mitmachen_15_00,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:99,"Du hast Nerven! Denkst du, ich nehme direkt jeden, der hier reinkommt?",鼓起勇气！你是不是真诚地认为我能抓到进入这里的每个人？,,,DIA_Lee_Mitmachen_08_01,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:100,"Erst wenn du einige Zeit hier im Lager bist, kannst du einer von uns werden. Ich werde dich beobachten!",你在营地里呆上一段时间后，你才能成为我们中的一员。我会观察你！,,,DIA_Lee_Mitmachen_08_02,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:115,Ich will ein Söldner der Magier werden - bin ich jetzt soweit?,我想成为法师的一名佣兵－－我可以吗？,,,Sld_700_Lee_NowReady.description,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:129,Ich will ein Söldner der Magier werden - bin ich jetzt soweit?,我想成为法师的一名佣兵－－我可以吗？,,,DIA_Lee_NowReady_15_00,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:133,"Deine Taten für die Bruderschaft in der Alten Mine haben gezeigt, das du einiges drauf hast.",你为旧营地的人民做了许多好事，证明你是一个十分好的人。,,,Sld_700_Lee_BECOMESLD_Info_08_01,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:134,"Ich wäre bereit, dich in die Reihen der Söldner aufzunehmen.",我愿意让你加入佣兵。,,,Sld_700_Lee_BECOMESLD_Info_08_02,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:138,"Aber du bist noch nicht bereit für die Söldner. Sammle erst noch mehr Erfahrung, dann bist du dabei.",但是你还没有作好加入佣兵的准备。再多些经验，你就会被允许加入了。,,,Sld_700_Lee_BECOMESLD_Info_08_03,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:144,Ich gebe dir eine Chance. Wie siehts aus?,我会给你一次机会的。怎么样？,,,Sld_700_Lee_BECOMESLD_Info_08_04,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:152,Dir fehlt es noch an Erfahrung. Du mußt deine Fähigkeiten noch steigern.,你还没足够的经验。你必须提高自己的能力。,,,DIA_Lee_NowReady_08_01,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:172,Ich will Söldner werden,我想成为一名佣兵。,,,Sld_700_Lee_BECOMESLDNOW.description,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:186,Ich will Söldner werden.,我想成为一名佣兵。,,,Sld_700_Lee_BECOMESLDNOW_Info_15_01,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:187,Eine gute Entscheidung. Du wirst sie nicht bereuen.,很好的决定。你不会后悔的。,,,Sld_700_Lee_BECOMESLDNOW_Info_08_02,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:188,"Sag mir eins, warum? Warum hast du dich uns angeschlossen und nicht dem Alten Lager oder der Bruderschaft?",告诉我：为什么？你为什么要加入我们，而不是旧营地或兄弟会？,,,Sld_700_Lee_BECOMESLDNOW_Info_08_03,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:194,Die anderen Lager sind es nicht wert,加入其他的营地没有什么价值。,,,Sld_700_Lee_BECOMESLDNOW.Sld_700_Lee_BECOMESLDNOW_NOOTHER,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:195,Ich wollte von Anfang an die Freiheit,从最开始时，我就想得回自由。,,,Sld_700_Lee_BECOMESLDNOW.Sld_700_Lee_BECOMESLDNOW_FREEDOM,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:196,Es hat sich einfach so ergeben,那种机率是很小的。,,,Sld_700_Lee_BECOMESLDNOW.Sld_700_Lee_BECOMESLDNOW_JUSTBECAUSE,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:201,Die anderen Lager sind es nicht wert.,加入其他的营地没有什么价值。,,,Sld_700_Lee_BECOMESLDNOW_NOOTHER_15_01,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:202,"Das einzige, was hier drin etwas wert ist, ist die Hoffnung auf Freiheit. Willkommen, SÖLDNER!",这里最有价值的事是自由的希望。欢迎你，佣兵！,,,Sld_700_Lee_BECOMESLDNOW_NOOTHER_08_02,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:213,Ich wollte von Anfang an die Freiheit.,从最开始时，我就想得回自由。,,,Sld_700_Lee_BECOMESLDNOW_FREEDOM_15_01,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:214,"Wir werden uns unsere Freiheit zurückholen. Willkommen, SÖLDNER.",我们会恢复自己的自由的。欢迎你，佣兵！,,,Sld_700_Lee_BECOMESLDNOW_FREEDOM_08_02,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:225,Es hat sich einfach so ergeben.,那种机率是很小的。,,,Sld_700_Lee_BECOMESLDNOW_JUSTBECAUSE_15_01,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:226,"Hauptsache, es ergibt sich nicht, dass uns die Barriere für immer hier drin gefangen hält. Willkommen, SÖLDNER.",我只希望不必永远陷在这里。欢迎你，佣兵。,,,Sld_700_Lee_BECOMESLDNOW_JUSTBECAUSE_08_02,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:265,Einst führte ich ein anderes Leben.,这是一次开启我不同生活的时机。,,,Sld_700_Lee_DAMNPAST_Info_08_01,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:266,Ich zählte zu den besten Generälen dieses Landes.,我是这个国家最好的将军。,,,Sld_700_Lee_DAMNPAST_Info_08_02,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:267,Ich habe mein ganzes Leben lang für dieses Land gekämpft.,我的一生都是为自己的国家而战斗。,,,Sld_700_Lee_DAMNPAST_Info_08_03,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:268,"Den Adeligen war ich ein Dorn im Auge, denn der König hörte auf meinen Rat. Und sie sahen ihre schmutzigen Geschäfte in Gefahr.",但是贵族们不喜欢我，因为国王听从我的建议。他们知道我对他们的肮脏的生意是一种威胁。,,,Sld_700_Lee_DAMNPAST_Info_08_04,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:269,"Ich habe nicht mit ihrer Hinterhältigkeit gerechnet. Sie haben des Königs Frau benutzt, um mich zu kriegen.",我敌不过他们的阴险。他们利用国王的妻子陷害我。,,,Sld_700_Lee_DAMNPAST_Info_08_05,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:270,Der sinnlose Mord an ihr wurde mir angehängt. König Rhobar blieb keine Wahl.,我被指责成杀她的凶手。国王罗拔没有其他的选择。,,,Sld_700_Lee_DAMNPAST_Info_08_06,,
Scripts/content/Story/MISSIONS/DIA_Sld_700_Lee.d:271,Meine Verdienste um das Land retteten mich vor dem Strick. Aber sie haben mir meine Freiheit genommen.,他们没有把我送上绞刑架，然而却夺走了我的自由。,,,Sld_700_Lee_DAMNPAST_Info_08_07,,
