location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:48,"Neu hier, was? Dein Gesicht kenne ich nicht.",你是新来的吧？我不认识你。,,,DIA_STT_315_Sly_10_01,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:49,Ich bin Sly. Ich hätte was zu tun für einen Neuen.,我是史力。我有项工作可以给新来的人做。,,,DIA_STT_315_Sly_10_02,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:63,Du hast was zu tun für mich? Um was geht's?,你有我能做的工作吗？什么？,,,DIA_STT_315_LostNek.description,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:73,Du hast was zu tun für mich? Um was geht's?,你有我能做的工作吗？什么？,,,DIA_STT_315_LostNek_15_00,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:74,Einer unserer Gardisten ist verschwunden! Er heißt Nek. Er könnte ins Neue Lager übergelaufen sein.,我们的一名守卫失踪了！他叫尼克。也许他去新营地了。,,,DIA_STT_315_LostNek_10_01,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:75,Du bist neu hier und kommst viel rum. Also halt die Augen offen.,你是新来的，要去的地方会很多。所以你要睁大眼睛留意他的消息。,,,DIA_STT_315_LostNek_10_02,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:79,"Wenn du ihn findest, leg' ich ein gutes Wort für dich hier im Lager ein.",如果你找到他，我会为你在营地里说些好话。,,,DIA_STT_315_LostNek_10_03,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:83,"Ich werd sehen, ob ich ihn finde.",我会尽力找到他。,,,DIA_STT_315_LostNek.DIA_STT_315_LostNek_DoIt,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:87,Was kann ein gutes Wort von dir denn bewirken?,你要为我说什么好话？,,,DIA_STT_315_LostNek.DIA_STT_315_LostNek_Why,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:93,Was kann ein gutes Wort von dir bewirken?,你要为我说什么好话？,,,DIA_STT_315_LostNek_Why_15_00,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:94,"Wenn du hier im Lager aufgenommen werden willst, brauchst du Leute, die für dich sprechen.",如果你想加入营地，需要人们为你说话。,,,DIA_STT_315_LostNek_Why_10_01,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:95,Ein gutes Wort von mir über dich bei Diego kann da schon einiges helfen.,如果我在迪哥面前说你的好话，那将对是很大的帮助。,,,DIA_STT_315_LostNek_Why_10_02,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:100,"Ich werd sehen, ob ich ihn finde.",我会尽力找到他。,,,DIA_STT_315_LostNek_DoIt_15_00,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:101,"Wenn du Fletcher triffst, frag ihn über Nek. Er hat sein Viertel übernommen, seit Nek verschwunden ist.",如果你遇到弗雷契，问他有关尼克的事，自从尼克失踪后，他就接替了他的位置。,,,DIA_STT_315_LostNek_DoIt_10_01,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:102,Wo finde ich ihn?,在哪儿能找到他？,,,DIA_STT_315_LostNek_DoIt_15_02,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:103,Sein Viertel ist das Arenaviertel.,他的辖区是竞技场地区。,,,DIA_STT_315_LostNek_DoIt_10_03,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:133,Ich hab' Nek gefunden.,找到尼克了。,,,DIA_STT_315_LostNekSuccess.description,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:146,Ich hab' Nek gefunden.,找到尼克了。,,,DIA_STT_315_LostNekSuccess_15_00,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:147,Gut! Hast du dafür Beweise?,好！你找到了他的什么证物吗？,,,DIA_STT_315_LostNekSuccess_10_01,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:150,Nein - ich befürchte nicht.,不！恐怕不是。,,,DIA_STT_315_LostNekSuccess.DIA_STT_315_LostNekSuccess_NoProof,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:151,Ich hab' ein Amulett bei ihm gefunden - hier.,我找到了他的护身符－－给你。,,,DIA_STT_315_LostNekSuccess.DIA_STT_315_LostNekSuccess_Proof,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:156,Ich hab' ein Amulett bei ihm gefunden - hier.,我找到了他的护身符－－给你。,,,DIA_STT_315_LostNekSuccess_Proof_15_00,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:157,Genau um dieses Amulett ging es mir. Du bist ein schlauer Junge.,这是他的护身符。你很聪明。,,,DIA_STT_315_LostNekSuccess_Proof_10_01,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:158,"Du hättest auf die Idee kommen können, das Amulett zu behalten, aber du hast die richtige Entscheidung getroffen.",或许你想自己留下这个护身符，但是你的决定是正确的。,,,DIA_STT_315_LostNekSuccess_Proof_10_02,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:162,"Wenn Diego mich nach dir fragt, werd' ich dir meine Stimme geben.",如果迪哥问起你，我会投你一票。,,,DIA_STT_315_LostNekSuccess_Proof_10_03,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:192,Nein - ich befürchte nicht.,不！恐怕不是。,,,DIA_STT_315_LostNekSuccess_NoProof_15_00,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:193,So? Du willst mir doch nicht etwas vorenthalten? Nek hat ein Schutzamulett bei sich.,噢？你没有向我隐瞒什么，是吗？尼克随身带着一个护身符。,,,DIA_STT_315_LostNekSuccess_NoProof_10_01,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:194,"Ich mag nicht, wenn man mir etwas vorenthält, was mir gehört. Solltest du das Amulett finden, bring es mir!",我不喜欢人们从我这里得到矿山上的东西。如果你发现那个护身符，带来给我！,,,DIA_STT_315_LostNekSuccess_NoProof_10_02,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:195,"Ich werd an dich denken, wenn ich das Amulett in der Hand halte.",当我拿到护身符时，我会考虑给你的。,,,DIA_STT_315_LostNekSuccess_NoProof_15_03,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:213,Wie läuft's denn so?,怎么样了？,,,DIA_STT_315_Sly_AfterSuccess.description,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:227,Wie läuft's denn so?,怎么样了？,,,DIA_STT_315_Sly_AfterSuccess_15_00,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:228,Gut! Bei mir brauchst du dir wegen Diego keine Sorgen mehr zu machen!,好！有我在，你不用再担心迪哥了！,,,DIA_STT_315_Sly_AfterSuccess_10_01,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:229,"Eine Hand wäscht die andere, denke ich.",你对我的事尽力了，我也会为你办事的！,,,DIA_STT_315_Sly_AfterSuccess_15_02,,
Scripts/content/Story/MISSIONS/DIA_STT_315_Sly.d:230,So ist es.,就是这样。,,,DIA_STT_315_Sly_AfterSuccess_10_03,,
Scripts/content/Story/MISSIONS/DIA_STT_331_Fingers.d:36,Ich will Schatten werden!,我想成为一名巡逻兵！,,,DIA_Fingers_BecomeShadow.description,,
Scripts/content/Story/MISSIONS/DIA_STT_331_Fingers.d:50,Ich will Schatten werden!,我想成为一名巡逻兵！,,,DIA_Fingers_BecomeShadow_15_00,,
Scripts/content/Story/MISSIONS/DIA_STT_331_Fingers.d:51,Und?,什么？,,,DIA_Fingers_BecomeShadow_05_01,,
Scripts/content/Story/MISSIONS/DIA_STT_331_Fingers.d:56,"Ich suche jemanden, der mir was beibringt.",我在找个人教我学点东西。,,,DIA_Fingers_BecomeShadow.DIA_Fingers_BecomeShadow_TeachMe,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_STT_331_Fingers.d:59,Kannst du mir dabei helfen?,你能帮我吗？,,,DIA_Fingers_BecomeShadow.DIA_Fingers_BecomeShadow_AnyTips,Info_AddChoice,
