location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:34,Kannst du mich trainieren?,你能培训我吗？,,,DIA_GorNaToth_Abweisend.description,,
Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:48,Kannst du mich trainieren?,你能培训我吗？,,,DIA_GorNaToth_AngarTalked_15_00,,
Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:49,"Geh mir aus den Augen, Unwürdiger. Ich trainiere nur die Templer des Schläfers.",我只教导沈睡者的圣战士。,,,DIA_GorNaToth_AngarTalked_11_01,,
Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:75,Cor Angar hat mit dir geredet? Was hat er gesagt?,寇尔安卡和你谈过了吗？他说什么了吗？,,,DIA_GorNaToth_AngarTalked_11_00,,
Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:77,"Er hat gesagt, du seist unwürdig, die Rüstung eines Templers zu tragen.",他说，你不值得穿上一名圣战士的盔甲。,,,DIA_GorNaToth_AngarTalked.DIA_GorNaToth_AngarTalked_Unworthy,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:78,"Er sagte, die Sumpfhaie habe er noch nie leiden können.",他说他从来不喜欢骗子。,,,DIA_GorNaToth_AngarTalked.DIA_GorNaToth_AngarTalked_Shark,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:79,"Er hat gesagt, ich soll wiederkommen, wenn ich Templer bin.",他说，只要我一成为圣战士，就应该回去了。,,,DIA_GorNaToth_AngarTalked.DIA_GorNaToth_AngarTalked_Normal,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:84,"Er hat gesagt, ich soll wiederkommen, wenn ich Templer bin.",他说，只要我一成为圣战士，就应该回去了。,,,DIA_GorNaToth_AngarTalked_Normal_15_00,,
Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:85,Er scheint sehr viel von dir zu halten. Er redet so gut wie nie mit jemandem.,看来，他对你很好啊！他从来不和别人说话的。,,,DIA_GorNaToth_AngarTalked_Normal_11_01,,
Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:86,"Es ist eine große Ehre für dich, dass er dich überhaupt bemerkt hat. Mit MIR hat er das letzte Mal vor zwei Monaten geredet.",被他注意，那是一种荣幸。上一次他和我谈话是两个月前的事了。,,,DIA_GorNaToth_AngarTalked_Normal_11_02,,
Scripts/content/Story/MISSIONS/DIA_TPL_1402_GorNaToth.d:92,"Er sagte, die Sumpfhaie habe er noch nie leiden können.",他说他从来不喜欢骗子。,,,DIA_GorNaToth_AngarTalked_Shark_15_00,,
