Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:46,"Warte doch mal! Ich hab' gehört, du hast dich mit Bloodwyn unterhalten?",慢着！我听说你和布罗德恩谈过了？,,,DIA_Herek_Bully_01_00,,
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:47,Warum? Was willst du?,为什么？你想做什么？,,,DIA_Herek_Bully_15_01,,
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:48,"Fand ich echt gut von dir, dass du dich geweigert hast, ihm Schutzgeld zu zahlen!",拒绝付给他保护费真是很冷漠！年轻人！,,,DIA_Herek_Bully_01_02,,
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:49,"Das heißt, wir anderen müssen deinen Teil mitbezahlen!",那意味着我们都要必须分担你的份额了！,,,DIA_Herek_Bully_01_03,,
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:50,"Ich werde dafür sorgen, dass du dich daran erinnerst, wenn er dich das nächste Mal fragt ...",我相信你会记得，他下次一定会问你的。,,,DIA_Herek_Bully_01_04,,
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:69,"Na, wie sieht's aus?",怎么样？,,,DIA_Herek_Motz.description,,
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:82,"Na, wie sieht's aus?",怎么样？,,,DIA_Herek_Motz_15_00,,
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:83,In diesem Lager ist nicht genug Platz für uns beide!,营地里没有足够的地方了！,,,DIA_Herek_Motz_01_01,,
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:84,Bitte was?,明白吗？,,,DIA_Herek_Motz_15_02,,
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:85,"Wenn es nach mir ginge, würdest du hier nicht alt!",若我管事，你就不会持续在这里呆这么长时间了！,,,DIA_Herek_Motz_01_03,,
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:86,"Weißt du, warum ich hier bin? In einer Nacht habe ich ein Dutzend Leute umgebracht. Einfach nur so ... hä hä hä!",你知道我为什么在这里吗？我一个晚上杀了一打人，就像那样．．．嘿嘿嘿！！！,,,DIA_Herek_Motz_01_04,,
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:103,"Du denkst, du bist einer von den Harten? Versuch's doch nochmal bei mir.",所以，你以为你是一个很野蛮的人，是吗？你为什么不试试我呢．．．．,,,DIA_Herek_Anlegen.description,,
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:116,"So, du denkst also, du bist einer von den Harten? Versuch's doch mal bei mir ...",所以，你以为你是一个很野蛮的人，是吗？你为什么不试试我呢．．．．,,,DIA_Herek_Anlegen_15_00,,
Scripts/content/Story/MISSIONS/DIA_Vlk_511_Herek.d:117,Du willst'n paar aufs Maul?! Kannst du haben!!,你想试试吗？好吧，如果你是那样想的！！！,,,DIA_Herek_Anlegen_01_01,,
Scripts/content/Story/MISSIONS/DIA_Vlk_520_Buddler.d:34,Was machst du hier draußen?,你在这儿做什么？,,,DIA_Vlk_520_LeaveMe.description,,
Scripts/content/Story/MISSIONS/DIA_Vlk_520_Buddler.d:44,Was machst du hier draußen?,你在这儿做什么？,,,DIA_Vlk_520_LeaveMe_15_00,,
Scripts/content/Story/MISSIONS/DIA_Vlk_520_Buddler.d:45,Ich will meine Ruhe haben - also zisch ab.,我想安静一会儿－－所以走开！,,,DIA_Vlk_520_LeaveMe_01_01,,
Scripts/content/Story/MISSIONS/DIA_Vlk_524_Dusty.d:33,Hi! Ich bin neu hier - wie sieht's aus?,你好！我是新来的－－怎么样？,,,DIA_Dusty_Hello.description,,
Scripts/content/Story/MISSIONS/DIA_Vlk_524_Dusty.d:43,Hi! Ich bin neu hier - wie sieht's aus?,你好！我是新来的－－怎么样？,,,DIA_Dusty_Hello_15_00,,
Scripts/content/Story/MISSIONS/DIA_Vlk_524_Dusty.d:44,Ach hör auf! Ich hab' die letzten zwei Wochen in den Minen geschuftet. Und wofür?,别傻了！我一直在矿坑里工作了两个星期了。为什么？,,,DIA_Dusty_Hello_03_01,,
Scripts/content/Story/MISSIONS/DIA_Vlk_524_Dusty.d:45,Ein paar lausige Brocken Erz sind mir geblieben. Das meiste ging für Essen drauf.,我采到了许多矿石。我必须买食物花掉它们。,,,DIA_Dusty_Hello_03_02,,
Scripts/content/Story/MISSIONS/DIA_Vlk_524_Dusty.d:46,Ich hab' mich mit Baal Parvez da unten unterhalten. Er hat mir ein paar interessante Sachen über das Lager der Sekte erzählt.,我和巴尔．帕菲兹谈过了。他告诉了我，学派学地里的一些趣事。,,,DIA_Dusty_Hello_03_03,,
