location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Items/Amulette.d:16,Zeichen der Bruderschaft,兄弟会的标志,,,ItMi_Amulet_Psi_01.description,,
Scripts/content/Items/Amulette.d:17,,,,,ItMi_Amulet_Psi_01.text[0],,
Scripts/content/Items/Amulette.d:18,,,,,ItMi_Amulet_Psi_01.text[1],,
Scripts/content/Items/Amulette.d:19,,,,,ItMi_Amulet_Psi_01.text[2],,
Scripts/content/Items/Amulette.d:20,,,,,ItMi_Amulet_Psi_01.text[3],,
Scripts/content/Items/Amulette.d:21,,,,,ItMi_Amulet_Psi_01.text[4],,
Scripts/content/Items/Amulette.d:42,Amulett der Flammen,火焰护身符,,,Schutzamulett_Feuer.description,,
Scripts/content/Items/Amulette.d:43,,,,,Schutzamulett_Feuer.text[0],,
Scripts/content/Items/Amulette.d:44,,,,,Schutzamulett_Feuer.text[1],,
Scripts/content/Items/Amulette.d:46,,,,,Schutzamulett_Feuer.text[3],,
Scripts/content/Items/Amulette.d:47,,,,,Schutzamulett_Feuer.text[4],,
Scripts/content/Items/Amulette.d:78,Harnischamulett,盔甲护身符,,,Schutzamulett_Waffen.description,,
Scripts/content/Items/Amulette.d:79,,,,,Schutzamulett_Waffen.text[0],,
Scripts/content/Items/Amulette.d:80,,,,,Schutzamulett_Waffen.text[1],,
Scripts/content/Items/Amulette.d:82,,,,,Schutzamulett_Waffen.text[3],,
Scripts/content/Items/Amulette.d:83,,,,,Schutzamulett_Waffen.text[4],,
Scripts/content/Items/Amulette.d:116,Amulett der Eichenhaut,橡树皮护身符,,,Schutzamulett_Geschosse.description,,
Scripts/content/Items/Amulette.d:117,,,,,Schutzamulett_Geschosse.text[0],,
Scripts/content/Items/Amulette.d:118,,,,,Schutzamulett_Geschosse.text[1],,
Scripts/content/Items/Amulette.d:120,,,,,Schutzamulett_Geschosse.text[3],,
Scripts/content/Items/Amulette.d:121,,,,,Schutzamulett_Geschosse.text[4],,
Scripts/content/Items/Amulette.d:152,Amulett der Geisteskraft,精神能量护身符,,,Schutzamulett_Magie.description,,
Scripts/content/Items/Amulette.d:153,,,,,Schutzamulett_Magie.text[0],,
Scripts/content/Items/Amulette.d:154,,,,,Schutzamulett_Magie.text[1],,
Scripts/content/Items/Amulette.d:156,,,,,Schutzamulett_Magie.text[3],,
Scripts/content/Items/Amulette.d:157,,,,,Schutzamulett_Magie.text[4],,
Scripts/content/Items/Amulette.d:188,Amulett der Läuterung,净化护身符,,,Schutzamulett_Magie_Feuer.description,,
Scripts/content/Items/Amulette.d:189,,,,,Schutzamulett_Magie_Feuer.text[0],,
Scripts/content/Items/Amulette.d:190,,,,,Schutzamulett_Magie_Feuer.text[1],,
Scripts/content/Items/Amulette.d:193,,,,,Schutzamulett_Magie_Feuer.text[4],,
Scripts/content/Items/Amulette.d:226,Amulett der Steinhaut,宝石护身符,,,Schutzamulett_Waffen_Geschosse.description,,
Scripts/content/Items/Amulette.d:227,,,,,Schutzamulett_Waffen_Geschosse.text[0],,
Scripts/content/Items/Amulette.d:228,,,,,Schutzamulett_Waffen_Geschosse.text[1],,
Scripts/content/Items/Amulette.d:231,,,,,Schutzamulett_Waffen_Geschosse.text[4],,
Scripts/content/Items/Amulette.d:266,Amulett der Erzhaut,矿石护身符,,,Schutzamulett_Total.description,,
Scripts/content/Items/Amulette.d:267,,,,,Schutzamulett_Total.text[0],,
Scripts/content/Items/Amulette.d:310,Amulett der Wendigkeit,敏捷护身符,,,Gewandtheitsamulett.description,,
Scripts/content/Items/Amulette.d:311,,,,,Gewandtheitsamulett.text[0],,
Scripts/content/Items/Amulette.d:312,,,,,Gewandtheitsamulett.text[1],,
Scripts/content/Items/Amulette.d:314,,,,,Gewandtheitsamulett.text[3],,
Scripts/content/Items/Amulette.d:315,,,,,Gewandtheitsamulett.text[4],,
Scripts/content/Items/Amulette.d:346,Amulett der Geschicklichkeit,灵巧护身符,,,Gewandtheitsamulett2.description,,
Scripts/content/Items/Amulette.d:347,,,,,Gewandtheitsamulett2.text[0],,
Scripts/content/Items/Amulette.d:348,,,,,Gewandtheitsamulett2.text[1],,
Scripts/content/Items/Amulette.d:350,,,,,Gewandtheitsamulett2.text[3],,
Scripts/content/Items/Amulette.d:351,,,,,Gewandtheitsamulett2.text[4],,
Scripts/content/Items/Amulette.d:382,Amulett der Kraft,能量护身符,,,Staerkeamulett.description,,
Scripts/content/Items/Amulette.d:383,,,,,Staerkeamulett.text[0],,
Scripts/content/Items/Amulette.d:384,,,,,Staerkeamulett.text[1],,
Scripts/content/Items/Amulette.d:386,,,,,Staerkeamulett.text[3],,
Scripts/content/Items/Amulette.d:387,,,,,Staerkeamulett.text[4],,
Scripts/content/Items/Amulette.d:418,Amulett der Stärke,力量护身符,,,Staerkeamulett2.description,,
Scripts/content/Items/Amulette.d:419,,,,,Staerkeamulett2.text[0],,
Scripts/content/Items/Amulette.d:420,,,,,Staerkeamulett2.text[1],,
Scripts/content/Items/Amulette.d:422,,,,,Staerkeamulett2.text[3],,
Scripts/content/Items/Amulette.d:423,,,,,Staerkeamulett2.text[4],,
Scripts/content/Items/Amulette.d:454,Amulett der Lebenskraft,生命力护身符,,,Lebensamulett.description,,
Scripts/content/Items/Amulette.d:455,,,,,Lebensamulett.text[0],,
Scripts/content/Items/Amulette.d:456,,,,,Lebensamulett.text[1],,
Scripts/content/Items/Amulette.d:458,,,,,Lebensamulett.text[3],,
Scripts/content/Items/Amulette.d:459,,,,,Lebensamulett.text[4],,
Scripts/content/Items/Amulette.d:499,Amulett der Magie,魔法护身符,,,Amulett_der_Magie.description,,
Scripts/content/Items/Amulette.d:500,,,,,Amulett_der_Magie.text[0],,
Scripts/content/Items/Amulette.d:501,,,,,Amulett_der_Magie.text[1],,
Scripts/content/Items/Amulette.d:503,,,,,Amulett_der_Magie.text[3],,
Scripts/content/Items/Amulette.d:504,,,,,Amulett_der_Magie.text[4],,
Scripts/content/Items/Amulette.d:523,Amulett der Macht,魔力护身符,,,Amulett_der_Macht.name,,
Scripts/content/Items/Amulette.d:538,,,,,Amulett_der_Macht.text[0],,
Scripts/content/Items/Amulette.d:539,,,,,Amulett_der_Macht.text[1],,
Scripts/content/Items/Amulette.d:542,,,,,Amulett_der_Macht.text[4],,
Scripts/content/Items/Amulette.d:561,Amulett der Erleuchtung,教化护身符,,,Amulett_der_Erleuchtung.name,,
Scripts/content/Items/Amulette.d:576,,,,,Amulett_der_Erleuchtung.text[0],,
Scripts/content/Items/Amulette.d:577,,,,,Amulett_der_Erleuchtung.text[1],,
Scripts/content/Items/Amulette.d:580,,,,,Amulett_der_Erleuchtung.text[4],,
Scripts/content/Items/Animaltrophy.d:95,Zähne,牙齿,,,ItAt_Teeth_01.name,,
Scripts/content/Items/Animaltrophy.d:106,,,,,ItAt_Teeth_01.text[0],,
Scripts/content/Items/Animaltrophy.d:107,,,,,ItAt_Teeth_01.text[1],,
Scripts/content/Items/Animaltrophy.d:108,,,,,ItAt_Teeth_01.text[2],,
Scripts/content/Items/Animaltrophy.d:109,,,,,ItAt_Teeth_01.text[3],,
Scripts/content/Items/Animaltrophy.d:116,Wolfsfell,狼皮,,,ItAt_Wolf_01.name,,
Scripts/content/Items/Animaltrophy.d:127,,,,,ItAt_Wolf_01.text[0],,
Scripts/content/Items/Animaltrophy.d:128,,,,,ItAt_Wolf_01.text[1],,
Scripts/content/Items/Animaltrophy.d:129,,,,,ItAt_Wolf_01.text[2],,
Scripts/content/Items/Animaltrophy.d:130,,,,,ItAt_Wolf_01.text[3],,
Scripts/content/Items/Animaltrophy.d:137,Orkhundfell,兽人犬皮,,,ItAt_Wolf_02.name,,
Scripts/content/Items/Animaltrophy.d:148,,,,,ItAt_Wolf_02.text[0],,
Scripts/content/Items/Animaltrophy.d:149,,,,,ItAt_Wolf_02.text[1],,
Scripts/content/Items/Animaltrophy.d:150,,,,,ItAt_Wolf_02.text[2],,
Scripts/content/Items/Animaltrophy.d:151,,,,,ItAt_Wolf_02.text[3],,
Scripts/content/Items/Animaltrophy.d:158,Flammenzunge,火舌,,,ItAt_Waran_01.name,,
Scripts/content/Items/Animaltrophy.d:169,,,,,ItAt_Waran_01.text[0],,
Scripts/content/Items/Animaltrophy.d:170,,,,,ItAt_Waran_01.text[1],,
Scripts/content/Items/Animaltrophy.d:171,,,,,ItAt_Waran_01.text[2],,
Scripts/content/Items/Animaltrophy.d:172,,,,,ItAt_Waran_01.text[3],,
Scripts/content/Items/Animaltrophy.d:179,Krallen,爪子,,,ItAt_Claws_01.name,,
Scripts/content/Items/Animaltrophy.d:190,,,,,ItAt_Claws_01.text[0],,
Scripts/content/Items/Animaltrophy.d:191,,,,,ItAt_Claws_01.text[1],,
Scripts/content/Items/Animaltrophy.d:192,,,,,ItAt_Claws_01.text[2],,
Scripts/content/Items/Animaltrophy.d:193,,,,,ItAt_Claws_01.text[3],,
Scripts/content/Items/Animaltrophy.d:200,Panzerplatte,金属盔甲,,,ItAt_Crawler_02.name,,
Scripts/content/Items/Animaltrophy.d:210,Die Panzerplatte eines Minecrawler Kriegers,矿坑爬行者战士的盔甲鳞片,,,ItAt_Crawler_02.description,,
Scripts/content/Items/Animaltrophy.d:211,,,,,ItAt_Crawler_02.text[0],,
Scripts/content/Items/Animaltrophy.d:212,,,,,ItAt_Crawler_02.text[1],,
Scripts/content/Items/Animaltrophy.d:213,,,,,ItAt_Crawler_02.text[2],,
Scripts/content/Items/Animaltrophy.d:214,,,,,ItAt_Crawler_02.text[3],,
Scripts/content/Items/Animaltrophy.d:221,Crawlerzangen,矿坑爬行者的牙齿,,,ItAt_Crawler_01.name,,
Scripts/content/Items/Animaltrophy.d:232,,,,,ItAt_Crawler_01.text[0],,
Scripts/content/Items/Animaltrophy.d:233,,,,,ItAt_Crawler_01.text[1],,
Scripts/content/Items/Animaltrophy.d:234,,,,,ItAt_Crawler_01.text[2],,
Scripts/content/Items/Animaltrophy.d:235,,,,,ItAt_Crawler_01.text[3],,
Scripts/content/Items/Animaltrophy.d:242,Fell,皮,,,ItAt_Shadow_01.name,,
Scripts/content/Items/Animaltrophy.d:252,Fell eines Schattenläufers,黑兽皮,,,ItAt_Shadow_01.description,,
Scripts/content/Items/Animaltrophy.d:253,,,,,ItAt_Shadow_01.text[0],,
Scripts/content/Items/Animaltrophy.d:254,,,,,ItAt_Shadow_01.text[1],,
Scripts/content/Items/Animaltrophy.d:255,,,,,ItAt_Shadow_01.text[2],,
Scripts/content/Items/Animaltrophy.d:256,,,,,ItAt_Shadow_01.text[3],,
Scripts/content/Items/Animaltrophy.d:263,Horn,角,,,ItAt_Shadow_02.name,,
Scripts/content/Items/Animaltrophy.d:273,Horn eines Schattenläufers,黑兽角,,,ItAt_Shadow_02.description,,
Scripts/content/Items/Animaltrophy.d:274,,,,,ItAt_Shadow_02.text[0],,
Scripts/content/Items/Animaltrophy.d:275,,,,,ItAt_Shadow_02.text[1],,
Scripts/content/Items/Animaltrophy.d:276,,,,,ItAt_Shadow_02.text[2],,
Scripts/content/Items/Animaltrophy.d:277,,,,,ItAt_Shadow_02.text[3],,
Scripts/content/Items/Animaltrophy.d:284,Lurkerklaue,水蜥蜴爪子,,,ItAt_Lurker_01.name,,
Scripts/content/Items/Animaltrophy.d:295,,,,,ItAt_Lurker_01.text[0],,
Scripts/content/Items/Animaltrophy.d:296,,,,,ItAt_Lurker_01.text[1],,
Scripts/content/Items/Animaltrophy.d:297,,,,,ItAt_Lurker_01.text[2],,
Scripts/content/Items/Animaltrophy.d:298,,,,,ItAt_Lurker_01.text[3],,
Scripts/content/Items/Animaltrophy.d:305,Lurkerhaut,水蜥蜴皮,,,ItAt_Lurker_02.name,,
Scripts/content/Items/Animaltrophy.d:316,,,,,ItAt_Lurker_02.text[0],,
Scripts/content/Items/Animaltrophy.d:317,,,,,ItAt_Lurker_02.text[1],,
Scripts/content/Items/Animaltrophy.d:318,,,,,ItAt_Lurker_02.text[2],,
Scripts/content/Items/Animaltrophy.d:319,,,,,ItAt_Lurker_02.text[3],,
Scripts/content/Items/Animaltrophy.d:326,Trollhauer,巨人尖牙,,,ItAt_Troll_02.name,,
Scripts/content/Items/Animaltrophy.d:337,,,,,ItAt_Troll_02.text[0],,
Scripts/content/Items/Animaltrophy.d:338,,,,,ItAt_Troll_02.text[1],,
Scripts/content/Items/Animaltrophy.d:339,,,,,ItAt_Troll_02.text[2],,
Scripts/content/Items/Animaltrophy.d:340,,,,,ItAt_Troll_02.text[3],,
Scripts/content/Items/Animaltrophy.d:347,Trollfell,巨人皮,,,ItAt_Troll_01.name,,
Scripts/content/Items/Animaltrophy.d:358,,,,,ItAt_Troll_01.text[0],,
Scripts/content/Items/Animaltrophy.d:359,,,,,ItAt_Troll_01.text[1],,
Scripts/content/Items/Animaltrophy.d:360,,,,,ItAt_Troll_01.text[2],,
Scripts/content/Items/Animaltrophy.d:361,,,,,ItAt_Troll_01.text[3],,
Scripts/content/Items/Animaltrophy.d:368,Sumpfhaihaut,沼泽巨虫皮,,,ItAt_Swampshark_01.name,,
Scripts/content/Items/Animaltrophy.d:379,,,,,ItAt_Swampshark_01.text[0],,
Scripts/content/Items/Animaltrophy.d:380,,,,,ItAt_Swampshark_01.text[1],,
Scripts/content/Items/Animaltrophy.d:381,,,,,ItAt_Swampshark_01.text[2],,
Scripts/content/Items/Animaltrophy.d:382,,,,,ItAt_Swampshark_01.text[3],,
Scripts/content/Items/Animaltrophy.d:389,Sumpfhaizähne,沼泽巨虫牙,,,ItAt_Swampshark_02.name,,
Scripts/content/Items/Animaltrophy.d:400,,,,,ItAt_Swampshark_02.text[0],,
Scripts/content/Items/Animaltrophy.d:401,,,,,ItAt_Swampshark_02.text[1],,
Scripts/content/Items/Animaltrophy.d:402,,,,,ItAt_Swampshark_02.text[2],,
Scripts/content/Items/Animaltrophy.d:403,,,,,ItAt_Swampshark_02.text[3],,
Scripts/content/Items/Animaltrophy.d:410,Flügel,翅膀,,,ItAt_Bloodfly_01.name,,
Scripts/content/Items/Animaltrophy.d:421,,,,,ItAt_Bloodfly_01.text[0],,
Scripts/content/Items/Animaltrophy.d:422,,,,,ItAt_Bloodfly_01.text[1],,
Scripts/content/Items/Animaltrophy.d:423,,,,,ItAt_Bloodfly_01.text[2],,
Scripts/content/Items/Animaltrophy.d:424,,,,,ItAt_Bloodfly_01.text[3],,
Scripts/content/Items/Animaltrophy.d:431,Blutfliegenstachel,血苍蝇的刺,,,ItAt_Bloodfly_02.name,,
Scripts/content/Items/Animaltrophy.d:442,,,,,ItAt_Bloodfly_02.text[0],,
Scripts/content/Items/Animaltrophy.d:443,,,,,ItAt_Bloodfly_02.text[1],,
Scripts/content/Items/Animaltrophy.d:444,,,,,ItAt_Bloodfly_02.text[2],,
Scripts/content/Items/Animaltrophy.d:445,,,,,ItAt_Bloodfly_02.text[3],,
Scripts/content/Items/Animaltrophy.d:452,Herz eines Steingolems,石头魔像的心脏,,,ItAt_StoneGolem_01.name,,
Scripts/content/Items/Animaltrophy.d:465,Dieses Herz stammt aus den Überresten,这个心脏是由残余的肉体之中制造而成的,,,ItAt_StoneGolem_01.text[0],,
Scripts/content/Items/Animaltrophy.d:466,eines besiegten Steingolems.,石头魔像的尸体。,,,ItAt_StoneGolem_01.text[1],,
Scripts/content/Items/Animaltrophy.d:467,"Es hat die Kraft, einen Gegner",它能将敌人打倒,,,ItAt_StoneGolem_01.text[2],,
Scripts/content/Items/Animaltrophy.d:468,durch die Luft zu schleudern.,通过空气,,,ItAt_StoneGolem_01.text[3],,
Scripts/content/Items/Animaltrophy.d:469,,,,,ItAt_StoneGolem_01.text[4],,
Scripts/content/Items/Animaltrophy.d:476,Herz eines Feuergolems,火魔像的心脏,,,ItAt_FireGolem_01.name,,
Scripts/content/Items/Animaltrophy.d:489,Dieses Herz stammt aus den Überresten,这个心脏是由残余的肉体之中制造而成的,,,ItAt_FireGolem_01.text[0],,
Scripts/content/Items/Animaltrophy.d:490,eines besiegten Feuergolems.,火魔像的尸体。,,,ItAt_FireGolem_01.text[1],,
Scripts/content/Items/Animaltrophy.d:491,"Es hat die Kraft, einen Gegner",它能用火攻击敌人,,,ItAt_FireGolem_01.text[2],,
Scripts/content/Items/Animaltrophy.d:492,in Flammen aufgehen zu lassen.,能量。,,,ItAt_FireGolem_01.text[3],,
Scripts/content/Items/Animaltrophy.d:493,,,,,ItAt_FireGolem_01.text[4],,
Scripts/content/Items/Animaltrophy.d:500,Herz eines Eisgolems,冰魔像的心脏,,,ItAt_IceGolem_01.name,,
Scripts/content/Items/Animaltrophy.d:513,Dieses Herz stammt aus den Überresten,这个心脏是由残余的肉体之中制造而成的,,,ItAt_IceGolem_01.text[0],,
Scripts/content/Items/Animaltrophy.d:514,eines besiegten Eisgolems.,冰魔像的尸体。,,,ItAt_IceGolem_01.text[1],,
Scripts/content/Items/Animaltrophy.d:515,"Es hat die Kraft, einen Gegner",它能用冰冻住敌人,,,ItAt_IceGolem_01.text[2],,
Scripts/content/Items/Animaltrophy.d:516,zu Eis erstarren zu lassen.,冻结敌人。,,FALSE,ItAt_IceGolem_01.text[3],,
Scripts/content/Items/Animaltrophy.d:517,,,,,ItAt_IceGolem_01.text[4],,
Scripts/content/Items/Animaltrophy.d:524,Stück eines Eisgolems,冰魔像的残骸,,,ItAt_IceGolem_02.name,,
Scripts/content/Items/Animaltrophy.d:539,Dieses Stück stammt aus den Überresten,这是片段的,,,ItAt_IceGolem_02.text[0],,
Scripts/content/Items/Animaltrophy.d:540,eines besiegten Eisgolems.,一个被击倒的冰巨像。,,,ItAt_IceGolem_02.text[1],,
Scripts/content/Items/Animaltrophy.d:541,,,,,ItAt_IceGolem_02.text[2],,
Scripts/content/Items/Animaltrophy.d:542,,,,,ItAt_IceGolem_02.text[3],,
Scripts/content/Items/Armor.d:49,Leichte Buddlerhose,采矿工的轻型裤子,,,VLK_ARMOR_L.name,,
Scripts/content/Items/Armor.d:70,,,,,VLK_ARMOR_L.text[0],,
Scripts/content/Items/Armor.d:81,Buddlerhose,采矿工的裤子,,,VLK_ARMOR_M.name,,
Scripts/content/Items/Armor.d:102,,,,,VLK_ARMOR_M.text[0],,
Scripts/content/Items/Armor.d:115,Schattenkluft,巡逻兵的服装,,,STT_ARMOR_M.name,,
Scripts/content/Items/Armor.d:136,,,,,STT_ARMOR_M.text[0],,
Scripts/content/Items/Armor.d:147,Schattenrüstung,巡逻兵的盔甲,,,STT_ARMOR_H.name,,
Scripts/content/Items/Armor.d:168,,,,,STT_ARMOR_H.text[0],,
Scripts/content/Items/Armor.d:181,Leichte Garderüstung,轻型守卫盔甲,,,GRD_ARMOR_L.name,,
Scripts/content/Items/Armor.d:202,,,,,GRD_ARMOR_L.text[0],,
Scripts/content/Items/Armor.d:213,Garderüstung,守卫的盔甲,,,GRD_ARMOR_M.name,,
Scripts/content/Items/Armor.d:234,,,,,GRD_ARMOR_M.text[0],,
Scripts/content/Items/Armor.d:245,Schwere Garderüstung,重型守卫盔甲,,,GRD_ARMOR_H.name,,
Scripts/content/Items/Armor.d:266,,,,,GRD_ARMOR_H.text[0],,
Scripts/content/Items/Armor.d:279,Prunkgewand,典礼长袍,,,EBR_ARMOR_M.name,,
Scripts/content/Items/Armor.d:302,,,,,EBR_ARMOR_M.text[0],,
Scripts/content/Items/Armor.d:313,Gomez'Rüstung,葛梅兹的盔甲,,,EBR_ARMOR_H.name,,
Scripts/content/Items/Armor.d:337,,,,,EBR_ARMOR_H.text[0],,
Scripts/content/Items/Armor.d:348,Schwere Erzbaronrüstung,重型矿场主人盔甲,,,EBR_ARMOR_H2.name,,
Scripts/content/Items/Armor.d:371,,,,,EBR_ARMOR_H2.text[0],,
Scripts/content/Items/Armor.d:388,Schürferklamotten,采矿工的服装,,,SFB_ARMOR_L.name,,
Scripts/content/Items/Armor.d:409,,,,,SFB_ARMOR_L.text[0],,
Scripts/content/Items/Armor.d:422,Leichte Banditenkleidung,盗贼轻型服装,,,ORG_ARMOR_L.name,,
Scripts/content/Items/Armor.d:443,,,,,ORG_ARMOR_L.text[0],,
Scripts/content/Items/Armor.d:454,Mittlere Banditenkleidung,盗贼的服装,,,ORG_ARMOR_M.name,,
Scripts/content/Items/Armor.d:475,,,,,ORG_ARMOR_M.text[0],,
Scripts/content/Items/Armor.d:486,Schwere Banditenkleidung,重型盗贼服装,,,ORG_ARMOR_H.name,,
Scripts/content/Items/Armor.d:507,,,,,ORG_ARMOR_H.text[0],,
Scripts/content/Items/Armor.d:518,leichte Söldnerrüstung,佣兵的轻型盔甲,,,SLD_ARMOR_L.name,,
Scripts/content/Items/Armor.d:539,,,,,SLD_ARMOR_L.text[0],,
Scripts/content/Items/Armor.d:550,Söldnerrüstung,佣兵的盔甲,,,SLD_ARMOR_M.name,,
Scripts/content/Items/Armor.d:571,,,,,SLD_ARMOR_M.text[0],,
Scripts/content/Items/Armor.d:582,Schwere Söldnerrüstung,重型佣兵盔甲,,,SLD_ARMOR_H.name,,
Scripts/content/Items/Armor.d:603,,,,,SLD_ARMOR_H.text[0],,
