location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/Log_Constants.d:11,Baloros Waffe,拜拉的武器,,,Baloros_Waffe,,
Scripts/content/Story/Log_Constants.d:12,"Baloro hat versprochen, mir eine verdammt gute Waffe zu geben, wenn ich ihm ein paar Sachen besorge. Er will 5 Äpfel, 2 Flaschen Reisschnaps, 5 Flaschen Bier, 3 Laibe Brot, 2 Käsestücke und 2 Weintraubenreben.",拜拉向我允诺，如果我带给他５个苹果，２瓶米酒，５瓶啤酒，３块面包，２块\n奶酪，和２串葡萄，他就会给我一样极好的武器。,,,Baloros_Waffe_1,,
Scripts/content/Story/Log_Constants.d:13,"Hätte ich mir gleich denken können, daß der Typ mich nur verarschen will. Egal! Jetzt bin um eine Erfahrung reicher!",我不应该信任这个怪人！不要紧，现在我已经吸取教训了！,,,Baloros_Waffe_2,,
Scripts/content/Story/Log_Constants.d:16,Der Fremde,陌生人,,,theriddle_log,,
Scripts/content/Story/Log_Constants.d:17,"Ich habe dem Skelett Magier im Nebelturm ein sehr seltsames Buch abgenommen. Chromanin! Es scheint sich um ein Rätsel zu handeln, das ein geheimnisvoller Fremder dieser Welt gestellt hat: ...Der Weise verschafft sich großen Überblick, bevor er sich der nächsten Aufgabe widmet... Mmmh! Ich verstehe es noch nicht ganz. aber vielleicht komme ich ja noch dahinter.",我从雾塔里拿了一大本奇怪的骷髅魔法书。福音！它似乎是一本关于一位神秘的\n陌生人创建这个世界之谜的书．．．聪明人在他开始执行下一次任务前，都有一个\n总的看法．．．唔！我仍然不十分明白，但是或许我会及时明白的。,,,theriddle_log_1,,
Scripts/content/Story/Log_Constants.d:18,"Ich habe ein zweites Buch gefunden, das den Namen Chromanin trägt. Und wieder gibt es mir ein Rätsel auf...Was geteilt, wird wieder vereint, wenn auch nur kurz massiv voneinander getrennt....",我发现了第二本福音书。它再一次向我显示了一个谜．．．大规模地分开一段时\n间后，重新结合起来是多么美满．．．,,,theriddle_log_2,,
Scripts/content/Story/Log_Constants.d:19,"Ich habe das dritte Buch gefunden. Ich glaube so langsam verstehe ich, wie das abläuft....Der kluge Fischer, versucht sein Glück auch mal auf der anderen Seite des Sees...",我发现了第三本书。我想我开始明白这一切了！．．．聪明的渔夫偶尔也会尝试\n去湖的对岸碰碰运气．．．,,,theriddle_log_3,,
Scripts/content/Story/Log_Constants.d:20,"Nummer vier. Ich frag mich langsam, warum ich mich von diesem Typ an der Nase herumführen lasse....Vergessen sind die Taten jener, die sich einst an Bord befanden...",第四本。我开始问我自己，我是不是傻了！．．．很长时间里忘记了那些岸上的\n人．．．,,,theriddle_log_4,,
Scripts/content/Story/Log_Constants.d:21,"Dies scheint das letzte zu sein. Bin gespannt zu erfahren, wem ich gegenüber stehen werde ...Dort, wo alles begann, sollst du mich finden...",这一个似乎是最后的了。我渴望找到一个我要遇到的人．．．你将在一切开始的\n地方找到我．．．,,,theriddle_log_5,,
Scripts/content/Story/Log_Constants.d:22,"Der geheimnisvolle Fremde ist tot. Diese Dämonen haben ihn getötet. Irgendetwas scheint ihn mit diesen Geschöpfen der Hölle verbunden zu haben. Sonst wäre er sicher nicht an diesen gottverlassenen Ort zurückgekehrt. Das Geheimnis, das er mit mir teilen wollte, hat er mit ins Grab genommen.",神秘的陌生人死了。那些恶魔杀死了他。他似乎与那些生物有着种种联系。否\n则，他不会回到这个地方的。显然，他想带着这个秘密进入坟墓。,,,theriddle_log_6,,
