location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/system/MENU/menu_defines.d:62,Taste ENTF zum Löschen und RETURN zum definieren,按ＤＥＬ键删除目前设定，按ＥＮＴＥＲ键确定更换新设定,,,CTRL_KEYDEF,,
Scripts/system/MENU/menu_defines.d:63,Gewünschte Taste betätigen.,按下您希望使用的按键,,,CTRL_KEYDEF_INFO,,
Scripts/system/MENU/menu_defines.d:64,nein|ja,否|是,,,MENU_NO_YES,,
Scripts/system/MENU/menu_defines.d:65,aus|an,不|是,,,MENU_OFF_ON,,
Scripts/system/MENU/menu_defines.d:66,Zurück,返回,,,MENU_BACK,,
Scripts/system/MENU/menu_defines.d:69,Slot 1 - RETURN zum Speichern in diesem Slot.,储存进度１－按ＥＮＴＥＲ键将游戏进度储存在这个位置,,,MENU_SAVE_1,,
Scripts/system/MENU/menu_defines.d:70,Slot 2 - RETURN zum Speichern in diesem Slot.,储存进度２－按ＥＮＴＥＲ键将游戏进度储存在这个位置,,,MENU_SAVE_2,,
Scripts/system/MENU/menu_defines.d:71,Slot 3 - RETURN zum Speichern in diesem Slot.,储存进度３－按ＥＮＴＥＲ键将游戏进度储存在这个位置,,,MENU_SAVE_3,,
Scripts/system/MENU/menu_defines.d:72,Slot 4 - RETURN zum Speichern in diesem Slot.,储存进度４－按ＥＮＴＥＲ键将游戏进度储存在这个位置,,,MENU_SAVE_4,,
Scripts/system/MENU/menu_defines.d:73,Slot 5 - RETURN zum Speichern in diesem Slot.,储存进度５－按ＥＮＴＥＲ键将游戏进度储存在这个位置,,,MENU_SAVE_5,,
Scripts/system/MENU/menu_defines.d:74,Slot 6 - RETURN zum Speichern in diesem Slot.,储存进度６－按ＥＮＴＥＲ键将游戏进度储存在这个位置,,,MENU_SAVE_6,,
Scripts/system/MENU/menu_defines.d:75,Slot 7 - RETURN zum Speichern in diesem Slot.,储存进度７－按ＥＮＴＥＲ键将游戏进度储存在这个位置,,,MENU_SAVE_7,,
Scripts/system/MENU/menu_defines.d:76,Slot 8 - RETURN zum Speichern in diesem Slot.,储存进度８－按ＥＮＴＥＲ键将游戏进度储存在这个位置,,,MENU_SAVE_8,,
Scripts/system/MENU/menu_defines.d:77,Slot 9 - RETURN zum Speichern in diesem Slot.,储存进度９－按ＥＮＴＥＲ键将游戏进度储存在这个位置,,,MENU_SAVE_9,,
Scripts/system/MENU/menu_defines.d:78,Slot 10 - RETURN zum Speichern in diesem Slot.,储存进度１０－按ＥＮＴＥＲ键将游戏进度储存在这个位置,,,MENU_SAVE_10,,
Scripts/system/MENU/menu_defines.d:79,Slot 11 - RETURN zum Speichern in diesem Slot.,储存进度１１－按ＥＮＴＥＲ键将游戏进度储存在这个位置,,,MENU_SAVE_11,,
