Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/AI/Monster/Mst_BlackGobbo.d:8,schwarzer Goblin,黑色哥布尔,,,Mst_Default_BlackGobbo.name,,
Scripts/content/AI/Monster/Mst_BlackGobbo.d:105,Goblin Krieger,哥布尔战士,,,BlackGobboWarrior.name,,
Scripts/content/AI/Monster/Mst_Bloodfly.d:8,Blutfliege,血苍蝇,,,Mst_Default_Bloodfly.name,,
Scripts/content/AI/Monster/Mst_Bloodfly.d:105,aggressive Blutfliege,好斗的血苍蝇,,,HelpBrothers_Bloodfly.name,,
Scripts/content/AI/Monster/Mst_Bloodhound.d:8,Bluthund,嗜血犬,,,Mst_Default_Bloodhound.name,,
Scripts/content/AI/Monster/Mst_Demon.d:8,Flammendämon,火恶魔,,,Mst_Default_Demon.name,,
Scripts/content/AI/Monster/Mst_Demon.d:191,niederer Dämon,小魔鬼,,,OTDemon.name,,
Scripts/content/AI/Monster/Mst_DemonLord.d:8,Dämonenlord,恶魔之王,,,Mst_Default_DemonLord.name,,
Scripts/content/AI/Monster/Mst_FireWaran.d:8,Feuerwaran,火蜥蜴,,,Mst_Default_FireWaran.name,,
Scripts/content/AI/Monster/Mst_Gobbo.d:8,Goblin,哥布尔,,,Mst_Default_GreenGobbo.name,,
Scripts/content/AI/Monster/Mst_Golem.d:8,Golem,魔像,,,Mst_Default_Golem.name,,
Scripts/content/AI/Monster/Mst_Golem.d:96,Stein Golem,石头魔像,,,StoneGolem.name,,
Scripts/content/AI/Monster/Mst_Golem.d:127,Golem,魔像,,,SummonedByPC_StoneGolem.name,,
Scripts/content/AI/Monster/Mst_Golem.d:159,Stein Golem,石头魔像,,,SummonedByNPC_StoneGolem.name,,
Scripts/content/AI/Monster/Mst_Golem.d:189,Feuer Golem,火魔像,,,FireGolem.name,,
Scripts/content/AI/Monster/Mst_Golem.d:225,Eis Golem,冰魔像,,,IceGolem.name,,
Scripts/content/AI/Monster/Mst_Golem.d:266,Brücken Golem,桥头魔像,,,BridgeGolem.name,,
Scripts/content/AI/Monster/Mst_Harpie.d:8,Harpie,鸟人,,,Mst_Default_Harpie.name,,
Scripts/content/AI/Monster/Mst_Lurker.d:8,Lurker,水蜥蜴,,,Mst_Default_Lurker.name,,
Scripts/content/AI/Monster/Mst_Lurker.d:104,Dammlurker,水坝水蜥蜴,,,DamLurker.name,,
Scripts/content/AI/Monster/Mst_Meatbug.d:8,Fleischwanze,肉虫,,,Mst_Default_Meatbug.name,,
Scripts/content/AI/Monster/Mst_Minecrawler.d:8,Minecrawler,矿坑爬行者,,,Mst_Default_Minecrawler.name,,
Scripts/content/AI/Monster/Mst_MinecrawlerQueen.d:8,Minecrawler Königin,矿坑爬行者女王,,,Mst_Default_MinecrawlerQueen.name,,
Scripts/content/AI/Monster/Mst_MinecrawlerWarrior.d:8,Minecrawler Warrior,矿坑爬行者战士,,,Mst_Default_MinecrawlerWarrior.name,,
Scripts/content/AI/Monster/Mst_MinecrawlerWarrior.d:103,Tempel Minecrawler,神殿矿坑爬行者,,,OTMinecrawler.name,,
Scripts/content/AI/Monster/Mst_Molerat.d:8,Molerat,爬行兽,,,Mst_Default_Molerat.name,,
Scripts/content/AI/Monster/Mst_Molerat.d:105,junge Molerat,小爬行兽,,,YMolerat.name,,
Scripts/content/AI/Monster/Mst_OrcBiter.d:8,Beisser,咬人虫,,,Mst_Default_OrcBiter.name,,
Scripts/content/AI/Monster/Mst_OrcDog.d:8,Orc-Hund,兽人犬,,,Mst_Default_OrcDog.name,,
Scripts/content/AI/Monster/Mst_OrcScout.d:8,Orc Jäger,兽人猎人,,,Mst_Default_OrcScout.name,,
Scripts/content/AI/Monster/Mst_OrcScout.d:109,Ork,兽人,,,OrcPeasantEatAndDrink.name,,
Scripts/content/AI/Monster/Mst_OrcScout.d:140,Orc Späher,兽人侦察员,,,OrcScoutGYD.name,,
Scripts/content/AI/Monster/Mst_OrcShaman.d:8,Ork Schamane,兽人巫师,,,Mst_Default_OrcShaman.name,,
Scripts/content/AI/Monster/Mst_OrcSlave.d:8,Orc Sklave,兽人奴隶,,,Mst_Default_OrcSlave.name,,
Scripts/content/AI/Monster/Mst_OrcSlave.d:105,Ork,兽人,,,OrcPeasantDance.name,,
Scripts/content/AI/Monster/Mst_OrcSlave.d:133,Ork,兽人,,,OrcPeasantDrum.name,,
Scripts/content/AI/Monster/Mst_OrcWarrior.d:8,Ork Krieger,兽人战士,,,Mst_Default_OrcWarrior.name,,
Scripts/content/AI/Monster/Mst_OrcWarrior.d:78,Ork Kämpfer,兽人斗士,,,OrcWarrior1.name,,
Scripts/content/AI/Monster/Mst_OrcWarrior.d:112,Ork Krieger,兽人战士,,,OrcWarrior2.name,,
Scripts/content/AI/Monster/Mst_OrcWarrior.d:146,Ork Klankrieger,兽人部落战士,,,OrcWarrior3.name,,
Scripts/content/AI/Monster/Mst_OrcWarrior.d:180,Ork Tempelkrieger,兽人神殿战士,,,OrcWarrior4.name,,
Scripts/content/AI/Monster/Mst_Razor.d:8,Razor,剃刀,,,Mst_Default_Razor.name,,
