Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/svm.d:244,Hör auf mit dieser Magie-Scheiße!,停止魔法！,,,SVM_1_StopMagic,,
Scripts/content/Story/svm.d:245,Willst du Schläge? Hör sofort damit auf!!!,你想挨揍吗？马上停止！！！,,,SVM_1_ISaidStopMagic,,
Scripts/content/Story/svm.d:246,Steck die Waffe weg!,放下武器！,,,SVM_1_WeaponDown,,
Scripts/content/Story/svm.d:247,Steck endlich die Scheißwaffe weg!!,马上放下该死的武器！！,,,SVM_1_ISaidWeaponDown,,
Scripts/content/Story/svm.d:248,Nimm das Ding runter!!,放下！！,,,SVM_1_WatchYourAim,,
Scripts/content/Story/svm.d:249,"Wenn du eine aufs Maul willst, ziel ruhig weiter auf mich!",如果你想吐口水，尽管向我吐吧！,,,SVM_1_WatchYourAimAngry,,
Scripts/content/Story/svm.d:250,Pass auf! Noch mal und ich verpass dir eine.,注意！再来一次，我会打烂你的下巴。,,,SVM_1_WhatAreYouDoing,,
Scripts/content/Story/svm.d:251,"Lass uns den kleinen Streit vergessen, okay?",让我们忘记刚才小小的不愉快吧？,,,SVM_1_LetsForgetOurLittleFight,,
Scripts/content/Story/svm.d:252,"Komm raus, du Dreckskerl!",滚，你这个坏蛋！,,,SVM_1_Strange,,
Scripts/content/Story/svm.d:253,Verdammtes Drecksvieh!,可恶的狗崽子！,,,SVM_1_DieMonster,,
Scripts/content/Story/svm.d:254,Jetzt musst du dran glauben!,现在，你不中用了！,,,SVM_1_DieMortalEnemy,,
Scripts/content/Story/svm.d:255,Jetzt gibt's was aufs Maul ...,现在你会得到一次教训．．．,,,SVM_1_NowWait,,
Scripts/content/Story/svm.d:256,Du willst wohl noch eine aufs Maul!,看起来你想得到一些！,,,SVM_1_YouStillNotHaveEnough,,
Scripts/content/Story/svm.d:257,Du wolltest so es so haben!,你渴望得到它！,,,SVM_1_YouAskedForIt,,
Scripts/content/Story/svm.d:258,"Jetzt sorg ich dafür, dass du in Einzelteilen hier weggeschafft wirst!",现在，我确定他们会来把你带到入口。,,,SVM_1_NowWaitIntruder,,
Scripts/content/Story/svm.d:259,"Ich habe dich gewarnt, die Drecksfinger von meinen Sachen zu lassen!",我警告你，把你的手拿开！,,,SVM_1_IWillTeachYouRespectForForeignProperty,,
Scripts/content/Story/svm.d:260,"Ich mach dich fertig, du Dieb!",我要干掉你，小偷！,,,SVM_1_DirtyThief,,
Scripts/content/Story/svm.d:261,Niemand vergreift sich an meinen Kumpels!,没人能弄乱我的东西！,,,SVM_1_YouAttackedMyCharge,,
Scripts/content/Story/svm.d:262,Du hast einen von uns platt gemacht. Jetzt mach' ich DICH platt!,你击倒了我们的一个人。现在，我要干掉你！,,,SVM_1_YouKilledOneOfUs,,
Scripts/content/Story/svm.d:263,Aaaaaargl!,啊！,,,SVM_1_Dead,,
Scripts/content/Story/svm.d:264,Aargh,啊,,,SVM_1_Aargh_1,,
Scripts/content/Story/svm.d:265,Aargh,啊,,,SVM_1_Aargh_2,,
Scripts/content/Story/svm.d:266,Aargh,啊,,,SVM_1_Aargh_3,,
Scripts/content/Story/svm.d:267,UUAAARRGGGHHH!!!,呜啊！！！,,,SVM_1_Berzerk,,
Scripts/content/Story/svm.d:268,Das wird dir noch Leid tun!,你会为此难过的！,,,SVM_1_YoullBeSorryForThis,,
Scripts/content/Story/svm.d:269,Keine Panik! Hast gewonnen!,不要慌！你已赢了！,,,SVM_1_YesYes,,
Scripts/content/Story/svm.d:270,Scheiße! Nichts wie weg!,可恶！你跑吧！,,,SVM_1_ShitWhatAMonster,,
Scripts/content/Story/svm.d:271,Verdammt!,该死！,,,SVM_1_Help,,
Scripts/content/Story/svm.d:272,Wir sehen uns wieder!,我们会再见的！,,,SVM_1_WeWillMeetAgain,,
Scripts/content/Story/svm.d:273,Noch einmal und du kannst was erleben.,再那样做，你会后悔的。,,,SVM_1_NeverTryThatAgain,,
Scripts/content/Story/svm.d:274,Nette Waffe! Her damit!,很棒的武器！给我吧！,,,SVM_1_ITakeYourWeapon,,
Scripts/content/Story/svm.d:275,"Danke für das Erz, du Held!",谢谢这些矿石，英雄！,,,SVM_1_ITookYourOre,,
Scripts/content/Story/svm.d:276,"Du arme Wurst, hast ja nicht mal Erz dabei!",可怜的人，你没有矿石！,,,SVM_1_ShitNoOre,,
Scripts/content/Story/svm.d:277,Flossen weg!,嗨，住手！,,,SVM_1_HandsOff,,
Scripts/content/Story/svm.d:278,Verschwinde hier!,你快走吧！,,,SVM_1_GetOutOfHere,,
Scripts/content/Story/svm.d:279,Hey! Wie kommst du hier rein?,嗨！你怎样到这儿的？,,,SVM_1_YouViolatedForbiddenTerritory,,
Scripts/content/Story/svm.d:280,"Du glaubst wohl, ich bin bescheuert!",你以为我很愚蠢吗？,,,SVM_1_YouWannaFoolMe,,
Scripts/content/Story/svm.d:281,Hey du! Was schleichst du da rum.,嘿！你在这儿鬼鬼祟祟地做什么？,,,SVM_1_WhatsThisSupposedToBe,,
Scripts/content/Story/svm.d:282,Raus aus meiner Hütte oder ich ruf die Wachen!,出去，否则我要叫守卫了！,,,SVM_1_WhyYouAreInHere,,
Scripts/content/Story/svm.d:283,Du hast da drinnen nichts verloren! Verschwinde!,你在那里唯一要做的就是击败他！,,,SVM_1_WhatDidYouInThere,,
Scripts/content/Story/svm.d:284,Kluges Kerlchen!,聪明！,,,SVM_1_WiseMove,,
Scripts/content/Story/svm.d:285,Wachen! Hierher!,守卫！这儿！,,,SVM_1_Alarm,,
Scripts/content/Story/svm.d:286,ALARM!!! EINDRINGLING!!!,警告！！！小偷！！！,,,SVM_1_IntruderAlert,,
