location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/Text.d:6,Kiste,盒子,,,MOBNAME_CRATE,,
Scripts/content/Story/Text.d:7,Truhe,箱子,,,MOBNAME_CHEST,,
Scripts/content/Story/Text.d:8,Bett,床,,,MOBNAME_BED,,
Scripts/content/Story/Text.d:9,Tür,门,,,MOBNAME_DOOR,,
Scripts/content/Story/Text.d:16,Amboss,铁砧,,,MOBNAME_ANVIL,,
Scripts/content/Story/Text.d:17,Wasser-Eimer,水桶,,,MOBNAME_BUCKET,,
Scripts/content/Story/Text.d:18,Schmiede-Feuer,铁匠的炉火,,,MOBNAME_FORGE,,
Scripts/content/Story/Text.d:19,Schleifstein,旋转磨石,,,MOBNAME_GRINDSTONE,,
Scripts/content/Story/Text.d:20,Winde,绞盘,,,MOBNAME_WHEEL,,
Scripts/content/Story/Text.d:24,Kessel,壶,,,MOBNAME_CAULDRON,,
Scripts/content/Story/Text.d:26,Pfanne,锅,,,MOBNAME_PAN,,
Scripts/content/Story/Text.d:28,Wasserpfeife,水管,,,MOBNAME_WATERPIPE,,
Scripts/content/Story/Text.d:29,Leiter,梯子,,,MOBNAME_LADDER,,
Scripts/content/Story/Text.d:30,Schalter,开关,,,MOBNAME_SWITCH,,
Scripts/content/Story/Text.d:32,Erzklumpen,矿石,,,MOBNAME_ORE,,
Scripts/content/Story/Text.d:35,Blasebalg,风箱,,,MOBNAME_BELLOW,,
Scripts/content/Story/Text.d:37,Mumie,木乃伊,,,MOBNAME_ORC_MUMMY,,
Scripts/content/Story/Text.d:38,Säule,柱子,,,MOBNAME_PILLAR,,
Scripts/content/Story/Text.d:42,Krautstampfer,沼泽烟草捣碎器,,,MOBNAME_HERB_PSI,,
Scripts/content/Story/Text.d:43,Statuette,雕像,,,MOBNAME_IDOL,,
Scripts/content/Story/Text.d:46,Zielscheibe,目标,,,MOBNAME_TARGETSTONE,,
Scripts/content/Story/Text.d:47,Orkischer Herzschrein,兽人神祠的中心,,,MOBNAME_SHRINE,,
Scripts/content/Story/Text.d:48,Sonderbarer Stein,奇怪的神祠,,,MOBNAME_SWORDSTONE,,
Scripts/content/Story/Text.d:57,(keine),（无）,,,TXT_GUILDS[0],,
Scripts/content/Story/Text.d:58,Erzbaron,矿场主人,,,TXT_GUILDS[1],,
Scripts/content/Story/Text.d:59,Gardist,守卫,,,TXT_GUILDS[2],,
Scripts/content/Story/Text.d:60,Schatten,巡逻兵,,,TXT_GUILDS[3],,
Scripts/content/Story/Text.d:61,Feuermagier,火界法师,,,TXT_GUILDS[4],,
Scripts/content/Story/Text.d:62,Buddler,采矿工,,,TXT_GUILDS[5],,
Scripts/content/Story/Text.d:63,Wassermagier,水界法师,,,TXT_GUILDS[6],,
Scripts/content/Story/Text.d:64,Söldner,佣兵,,,TXT_GUILDS[7],,
Scripts/content/Story/Text.d:65,Bandit,盗贼,,,TXT_GUILDS[8],,
Scripts/content/Story/Text.d:66,Bauer,农夫,,,TXT_GUILDS[9],,
Scripts/content/Story/Text.d:67,Schürfer,采矿工,,,TXT_GUILDS[10],,
Scripts/content/Story/Text.d:68,Guru,导师,,,TXT_GUILDS[11],,
Scripts/content/Story/Text.d:69,Novize,见习修士,,,TXT_GUILDS[12],,
Scripts/content/Story/Text.d:70,Templer,圣战士,,,TXT_GUILDS[13],,
Scripts/content/Story/Text.d:71,Dämonenbeschw.,巫师,,,TXT_GUILDS[14],,
Scripts/content/Story/Text.d:72,Babe,小孩,,,TXT_GUILDS[15],,
Scripts/content/Story/Text.d:74,Waran,蜥蜴,,,TXT_GUILDS[17],,
Scripts/content/Story/Text.d:75,Sleeper,沈睡者,,,TXT_GUILDS[18],,
Scripts/content/Story/Text.d:76,Goblin,哥布尔,,,TXT_GUILDS[19],,
Scripts/content/Story/Text.d:77,Troll,巨人,,,TXT_GUILDS[20],,
Scripts/content/Story/Text.d:78,Snapper,野狗,,,TXT_GUILDS[21],,
Scripts/content/Story/Text.d:79,Minecrawler,矿坑爬行者,,,TXT_GUILDS[22],,
Scripts/content/Story/Text.d:80,Fleischwanze,肉虫,,,TXT_GUILDS[23],,
Scripts/content/Story/Text.d:81,Scavenger,食尸鸟,,,TXT_GUILDS[24],,
Scripts/content/Story/Text.d:82,Dämon,恶魔,,,TXT_GUILDS[25],,
Scripts/content/Story/Text.d:83,Wolf,狼,,,TXT_GUILDS[26],,
Scripts/content/Story/Text.d:84,Schattenläufer,黑兽,,,TXT_GUILDS[27],,
Scripts/content/Story/Text.d:85,Bloodfly,血苍蝇,,,TXT_GUILDS[28],,
Scripts/content/Story/Text.d:86,Sumpfhai,沼泽巨虫,,,TXT_GUILDS[29],,
Scripts/content/Story/Text.d:87,Zombie,巫蛇,,,TXT_GUILDS[30],,
Scripts/content/Story/Text.d:88,"Zombie	Orc",巫蛇兽人,,FALSE,TXT_GUILDS[31],,
Scripts/content/Story/Text.d:89,Skelett,骷髅,,,TXT_GUILDS[32],,
Scripts/content/Story/Text.d:90,Ork-Hund,兽人犬,,,TXT_GUILDS[33],,
Scripts/content/Story/Text.d:91,Molerat,爬行兽,,,TXT_GUILDS[34],,
Scripts/content/Story/Text.d:92,Golem,魔像,,,TXT_GUILDS[35],,
Scripts/content/Story/Text.d:93,Lurker,水蜥蜴,,,TXT_GUILDS[36],,
Scripts/content/Story/Text.d:95,Orc Schamane,兽人巫师,,,TXT_GUILDS[38],,
Scripts/content/Story/Text.d:96,Orc Krieger,兽人战士,,,TXT_GUILDS[39],,
Scripts/content/Story/Text.d:97,Orc Späher,兽人侦察员,,,TXT_GUILDS[40],,
Scripts/content/Story/Text.d:98,Orc Sklave,兽人奴隶,,,TXT_GUILDS[41],,
Scripts/content/Story/Text.d:134,Licht,光咒,,,TXT_SPELLS[0],,
Scripts/content/Story/Text.d:135,Feuerball,火球术,,,TXT_SPELLS[1],,
Scripts/content/Story/Text.d:137,Angst,恐惧,,,TXT_SPELLS[3],,
Scripts/content/Story/Text.d:138,Heilung,康复咒,,,TXT_SPELLS[4],,
Scripts/content/Story/Text.d:140,Dämon beschwören,召唤恶魔,,,TXT_SPELLS[6],,
Scripts/content/Story/Text.d:141,Skelette beschwören,召唤骷髅,,,TXT_SPELLS[7],,
Scripts/content/Story/Text.d:143,Windfaust,暴风术,,,TXT_SPELLS[9],,
Scripts/content/Story/Text.d:144,Telekinese,心灵感应,,,TXT_SPELLS[10],,
Scripts/content/Story/Text.d:145,Charme,魅惑术,,,TXT_SPELLS[11],,
Scripts/content/Story/Text.d:146,Schlaf,催眠术,,,TXT_SPELLS[12],,
Scripts/content/Story/Text.d:147,Pyrokinese,疯狂,,,TXT_SPELLS[13],,
Scripts/content/Story/Text.d:148,Todesring,死亡戒指,,,TXT_SPELLS[14],,
Scripts/content/Story/Text.d:149,Kontrolle,控制,,,TXT_SPELLS[15],,
Scripts/content/Story/Text.d:150,Untote vernichten,毁灭不死生物,,,TXT_SPELLS[16],,
Scripts/content/Story/Text.d:151,Feuerpfeil,火焰箭,,,TXT_SPELLS[17],,
Scripts/content/Story/Text.d:152,Feuersturm,暴火咒,,,TXT_SPELLS[18],,
Scripts/content/Story/Text.d:153,Feuerregen,火雨咒,,,TXT_SPELLS[19],,
Scripts/content/Story/Text.d:155,Teleport Feuermagier,火界法师的心灵传送,,,TXT_SPELLS[21],,
Scripts/content/Story/Text.d:156,Teleport Wassermagier,水界法师的心灵传送,,,TXT_SPELLS[22],,
Scripts/content/Story/Text.d:157,Teleport Dämonenbeschwörer,巫师的心灵传送,,,TXT_SPELLS[23],,
Scripts/content/Story/Text.d:158,orkischer Teleport,兽人的心灵传送,,,TXT_SPELLS[24],,
Scripts/content/Story/Text.d:159,Teleport Sumpflager,沼泽地营地的心灵传送,,,TXT_SPELLS[25],,
Scripts/content/Story/Text.d:160,Verwandlung Blutfliege,转换成血苍蝇,,,TXT_SPELLS[26],,
Scripts/content/Story/Text.d:162,Verwandlung Minecrawler,转换成矿坑爬行者,,,TXT_SPELLS[28],,
Scripts/content/Story/Text.d:163,Verwandlung Lurker,转换成水蜥蜴,,,TXT_SPELLS[29],,
Scripts/content/Story/Text.d:164,Verwandlung Fleischwanze,转换成肉虫,,,TXT_SPELLS[30],,
Scripts/content/Story/Text.d:165,Verwandlung Molerat,转换成爬行兽,,,TXT_SPELLS[31],,
Scripts/content/Story/Text.d:166,Verwandlung Orc-Hund,转换成兽人犬,,,TXT_SPELLS[32],,
Scripts/content/Story/Text.d:168,Verwandlung Scavenger,转换成食尸鸟,,,TXT_SPELLS[34],,
Scripts/content/Story/Text.d:170,Verwandlung Schattenläufer,转换成黑兽,,,TXT_SPELLS[36],,
Scripts/content/Story/Text.d:171,Verwandlung Snapper,转换成野狗,,,TXT_SPELLS[37],,
Scripts/content/Story/Text.d:172,Verwandlung Waran,转换成蜥蜴,,,TXT_SPELLS[38],,
Scripts/content/Story/Text.d:173,Verwandlung Wolf,转换成狼,,,TXT_SPELLS[39],,
Scripts/content/Story/Text.d:174,Blitz,连环闪电,,,TXT_SPELLS[40],,
Scripts/content/Story/Text.d:175,Eispfeil,冰箭术,,,TXT_SPELLS[41],,
Scripts/content/Story/Text.d:176,Kugelblitz,电光球,,,TXT_SPELLS[42],,
Scripts/content/Story/Text.d:177,Eisblock,冰壁术,,,TXT_SPELLS[43],,
Scripts/content/Story/Text.d:178,Eiswelle,冰浪,,,TXT_SPELLS[44],,
Scripts/content/Story/Text.d:179,Golem beschwören,召唤魔像,,,TXT_SPELLS[45],,
Scripts/content/Story/Text.d:180,Armee der Finsternis,黑暗军队,,,TXT_SPELLS[46],,
Scripts/content/Story/Text.d:181,Sturmfaust,暴风雨,,,TXT_SPELLS[47],,
Scripts/content/Story/Text.d:183,Todeshauch,死亡气息,,,TXT_SPELLS[49],,
Scripts/content/Story/Text.d:184,Schrumpfen,变形怪物,,,TXT_SPELLS[50],,
Scripts/content/Story/Text.d:187,Raserei,狂暴术,,,TXT_SPELLS[53],,
Scripts/content/Story/Text.d:188,Zorn des URIZIEL,神圣之剑的愤怒,,,TXT_SPELLS[54],,
Scripts/content/Story/Text.d:189,New2,New2,,,TXT_SPELLS[55],,
Scripts/content/Story/Text.d:190,New3,New3,,,TXT_SPELLS[56],,
Scripts/content/Story/Text.d:191,New4,New4,,,TXT_SPELLS[57],,
